# generation:     mean_loss:           best_loss:
1                  2508.74                  2126.39
2                  2534.78                  2170.92
3                  2234.94                  2057.16
4                  2085.92                  1935.43
5                  1963.37                  1805.89
6                  1843.16                  1633.02
7                  1688.97                  1490.63
8                  1554.34                  1410.34
9                  1435.22                  1351.41
10                  1366.85                  1300.49
11                  1318.85                  1267.68
12                  1277.36                  1218.18
13                  1235.31                  1165.49
14                  1176.64                   1136.1
15                  1147.02                  1113.82
16                  1122.66                  1054.61
17                  1075.02                  1028.49
18                  1038.36                  968.924
19                  996.566                  946.166
20                  954.615                  903.911
21                  924.074                  875.427
22                  888.747                  844.614
23                    857.8                  825.891
24                   834.11                  809.799
25                  815.984                  785.573
26                  795.738                  772.216
27                  778.335                   741.92
28                  757.153                  728.928
29                  733.957                  707.876
30                  714.838                   696.87
31                  700.691                  677.989
32                  711.577                  674.163
33                  685.464                  653.294
34                  663.114                  642.587
35                  646.434                  621.641
36                  635.166                  603.148
37                  614.098                  595.039
38                  598.439                   572.06
39                  585.213                  562.289
40                  565.783                  546.577
41                  552.489                  537.216
42                  542.255                  532.433
43                   534.66                  529.905
44                  531.098                  526.678
45                  528.112                  521.855
46                  524.362                  517.414
47                  519.838                  506.921
48                  510.737                  495.859
49                  501.043                  492.028
50                  493.915                  484.457
51                  487.704                  460.887
52                  473.331                  458.773
53                  459.805                  452.463
54                   455.36                  431.911
55                  443.164                  423.487
56                  425.945                  419.841
57                   422.04                  417.965
58                  418.918                  414.954
59                  415.879                  410.535
60                  411.583                  403.596
61                  407.127                  396.195
62                  409.302                  396.195
63                  401.118                    391.5
64                  393.909                  384.366
65                  388.114                  379.468
66                  381.948                  376.741
67                  378.193                  375.421
68                  375.931                  370.054
69                  373.116                  367.171
70                   369.39                  362.167
71                  365.621                   357.99
72                   360.41                  355.338
73                  356.513                  353.443
74                  354.087                  351.075
75                  351.958                  347.946
76                  349.158                  343.479
77                  345.381                  337.877
78                  340.156                   326.59
79                  331.809                  322.484
80                  324.568                  320.496
81                  321.251                  313.545
82                   318.31                  311.821
83                  314.058                  301.502
84                   307.64                  300.341
85                  301.086                  299.193
86                  299.589                  294.673
87                  296.207                  289.389
88                  290.733                  288.638
89                  289.011                  286.057
90                  286.827                  276.166
91                  278.771                  273.468
92                  277.984                   273.56
93                  274.663                  272.494
94                  273.031                  269.958
95                  271.399                  249.682
96                  259.526                  238.923
97                  242.887                  233.676
98                  236.501                  231.753
99                  232.775                  228.353
100                  230.623                   224.23
101                  226.179                  218.755
102                  222.081                  217.142
103                  217.945                  215.125
104                  216.257                  214.323
105                   214.76                   212.93
106                  213.575                  211.752
107                  212.074                  210.814
108                  211.212                    209.2
109                   209.91                  207.744
110                  208.452                  205.634
111                  206.619                  203.597
112                  204.308                  201.286
113                  202.738                  199.325
114                  200.292                  196.433
115                  197.021                   194.18
116                  195.296                  193.376
117                  193.734                   192.25
118                   192.98                  190.379
119                  191.884                  189.575
120                  189.836                  188.786
121                  189.087                  185.921
122                  195.055                  187.357
123                  188.015                  185.657
124                  186.341                  184.349
125                  184.907                  183.887
126                  183.992                  183.629
127                  183.641                  183.265
128                  183.491                  181.099
129                  182.482                  178.674
130                  180.116                  177.469
131                  178.093                  174.616
132                  176.339                   174.58
133                  174.598                   174.58
134                  174.578                  173.669
135                  174.129                  171.603
136                  172.474                  170.362
137                  170.955                  170.362
138                  170.358                  168.583
139                  169.653                  168.583
140                  168.582                  167.846
141                  168.288                  166.447
142                  167.073                  164.592
143                  165.442                  163.182
144                  164.032                  162.515
145                   162.83                  161.727
146                  162.146                  161.156
147                  161.399                  160.368
148                  160.534                  160.368
149                  160.359                  158.307
150                  159.392                  156.577
151                   157.33                  156.009
152                  157.695                  156.009
153                  156.257                  156.009
154                  156.007                  155.366
155                  155.636                  154.587
156                  154.718                  154.018
157                  154.366                  152.868
158                  153.403                  152.424
159                  152.573                  152.213
160                   152.24                  147.549
161                   149.99                   145.06
162                  146.427                    144.7
163                  144.863                  144.388
164                  144.505                  143.801
165                  144.009                  143.726
166                  143.762                  142.897
167                  143.228                  142.256
168                  142.578                  141.926
169                  142.024                  139.988
170                  140.967                  139.558
171                  139.759                  139.521
172                  139.517                  137.685
173                  138.461                  136.214
174                  136.933                  135.702
175                  135.943                  135.272
176                  135.306                  134.672
177                  134.912                  134.672
178                  134.659                  129.347
179                  132.281                  129.347
180                  129.345                  128.695
181                      129                  128.265
182                   128.82                  128.265
183                   128.47                  128.265
184                  128.265                  128.265
185                  128.265                   128.13
186                  128.195                   128.13
187                   128.13                   128.13
188                  128.126                  126.231
189                  127.163                  125.143
190                  125.586                  123.593
191                  124.396                  122.025
192                  122.236                  116.727
193                  117.716                  113.169
194                  114.815                  112.802
195                  112.951                  112.802
196                  112.786                  105.128
197                  109.587                  105.128
198                  105.128                  105.128
199                  105.125                  104.224
200                  104.671                  103.771
201                  103.971                  103.771
202                  103.771                  103.771
203                  103.771                  103.445
204                  103.617                  103.445
205                  103.444                  102.965
206                  103.212                  102.738
207                  102.819                  102.258
208                  102.267                  102.258
209                  102.257                  102.159
210                  102.211                   102.09
211                  102.126                  101.841
212                   102.11                  101.841
213                  101.963                  101.622
214                  101.724                  101.622
215                  101.621                  101.143
216                  101.398                  100.924
217                      101                  100.924
218                  100.924                  100.924
219                  100.924                  100.769
220                  100.857                  100.769
221                  100.769                  100.769
222                  100.766                  100.114
223                  100.431                  100.114
224                  100.114                   100.07
225                  100.094                  100.036
226                  100.054                  99.8253
227                  99.9351                  99.7473
228                  99.7535                  99.7473
229                  99.7473                  99.7473
230                  99.7473                  99.7473
231                  99.7473                  99.7473
232                  99.7458                  99.0126
233                  99.3196                    97.22
234                  97.8524                    97.22
235                  97.2197                  97.0385
236                  97.1232                  94.4736
237                  95.8919                  94.4736
238                  94.4722                  94.0031
239                  94.2179                   93.785
240                  93.8924                  92.9563
241                  93.3637                   92.874
242                  93.5226                   92.874
243                   92.922                   92.874
244                   92.874                   92.874
245                   92.874                   92.874
246                   92.874                   92.874
247                   92.874                   92.874
248                   92.874                   92.874
249                   92.874                   92.874
250                  92.8737                   92.719
251                   92.803                   92.719
252                  92.7188                  92.6362
253                  92.6781                  92.6362
254                  92.6359                  92.4589
255                  92.5487                   91.058
256                  91.7646                  90.6771
257                  90.8666                  90.5206
258                  90.6071                  90.5206
259                  90.5206                  90.5206
260                  90.5206                  90.5206
261                  90.5206                  90.5206
262                    90.52                  90.2302
263                  90.3861                  90.0699
264                  90.1667                  90.0699
265                  90.0699                  90.0699
266                  90.0699                  90.0699
267                  90.0699                  90.0699
268                  90.0699                  90.0699
269                  90.0699                  90.0699
270                  90.0699                  90.0699
271                  90.0699                  90.0699
272                  90.0699                  90.0699
273                  90.0699                  90.0699
274                  90.0699                  90.0675
275                  90.0656                  88.9927
276                  89.5527                  88.9927
277                  88.9927                  88.9927
278                  88.9927                  88.9927
279                  88.9927                  88.9927
280                  88.9914                  88.3318
281                  88.6771                  88.3318
282                  88.3318                  88.3318
283                  88.3318                  88.3318
284                  88.3318                  88.3318
285                  88.3318                  88.3318
