#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.82467     1.82467           0
           2     1.81322     1.81894   0.0040488
           3     1.79942     1.81244  0.00596046
           4     1.79673     1.80851   0.0056165
           5     1.84492     1.81579  0.00791237
           6     1.83733     1.81938  0.00736343
           7     1.82253     1.81983  0.00632519
           8     1.85476      1.8242  0.00687825
           9     1.81811     1.82352  0.00614716
          10     1.80005     1.82117  0.00596373
          11      1.7883     1.81818  0.00612482
          12     1.81515     1.81793  0.00561964
          13     1.78032     1.81504  0.00588515
          14     1.76975      1.8118  0.00629121
          15      1.7704     1.80904  0.00644899
          16     1.78639     1.80763  0.00619945
          17     1.80119     1.80725  0.00584632
          18     1.78665      1.8061  0.00563237
          19      1.7575     1.80355  0.00588819
          20     1.78817     1.80278  0.00564378
          21     1.75628     1.80056  0.00579313
          22     1.73984      1.7978   0.0061523
          23     1.79901     1.79786  0.00588504
          24      1.7767     1.79697  0.00570544
          25     1.86762      1.7998  0.00613718
          26     1.81626     1.80043  0.00593368
          27     1.81121     1.80083  0.00572731
          28     1.78555     1.80029  0.00554871
          29     1.77707     1.79949  0.00541483
          30     1.76317     1.79828  0.00536794
