#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -0.42508    -0.42508           0
           2   -0.413713   -0.419397  0.00401878
           3   -0.399853   -0.412882  0.00595566
           4   -0.397109   -0.408939  0.00562259
           5   -0.445334   -0.416218  0.00791328
           6    -0.43775   -0.419807  0.00736331
           7   -0.422952   -0.420256  0.00632511
           8   -0.455247    -0.42463  0.00688254
           9   -0.418489   -0.423948  0.00615154
          10   -0.400411   -0.421594  0.00596971
          11   -0.388713   -0.418605  0.00612989
          12    -0.41558   -0.418353  0.00562425
          13   -0.380703   -0.415456  0.00589025
          14   -0.370073   -0.412215  0.00629868
          15   -0.370725   -0.409449  0.00645759
          16    -0.38666   -0.408025  0.00620908
          17   -0.401545   -0.407643  0.00585553
          18   -0.386964   -0.406495  0.00564179
          19   -0.357847   -0.403934  0.00589729
          20   -0.388592   -0.403167   0.0056521
          21   -0.356594   -0.400949  0.00580176
          22   -0.340142   -0.398185  0.00616134
          23   -0.399271   -0.398233  0.00589364
          24    -0.37712   -0.397353  0.00571334
          25   -0.468092   -0.400182  0.00614567
          26   -0.416782   -0.400821  0.00594237
          27   -0.411602    -0.40122  0.00573569
          28    -0.38594   -0.400674  0.00555674
          29    -0.37736   -0.399871  0.00542297
          30   -0.363561    -0.39866  0.00537557
