#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.21645     1.21645           0
           2     1.20881     1.21263   0.0026992
           3     1.19961     1.20829  0.00397364
           4     1.19782     1.20567  0.00374433
           5     1.22994     1.21053  0.00527491
           6     1.22489     1.21292  0.00490895
           7     1.21502     1.21322   0.0042168
           8     1.23651     1.21613   0.0045855
           9     1.21207     1.21568  0.00409811
          10     1.20003     1.21412  0.00397582
          11      1.1922     1.21212  0.00408321
          12      1.2101     1.21195  0.00374643
          13     1.18688     1.21003  0.00392343
          14     1.17984     1.20787  0.00419414
          15     1.18027     1.20603  0.00429932
          16     1.19092     1.20508  0.00413296
          17     1.20079     1.20483  0.00389755
          18      1.1911     1.20407  0.00375492
          19     1.17167     1.20236  0.00392546
          20     1.19211     1.20185  0.00376252
          21     1.17085     1.20038  0.00386209
          22     1.15989     1.19854  0.00410154
          23     1.19934     1.19857  0.00392336
          24     1.18447     1.19798  0.00380362
          25     1.24508     1.19987  0.00409145
          26     1.21084     1.20029  0.00395578
          27     1.20747     1.20055  0.00381821
          28     1.19037     1.20019  0.00369914
          29     1.18471     1.19966  0.00360989
          30     1.17545     1.19885  0.00357863
