#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.39959     1.39959           0
           2     1.39951     1.39955 3.00246e-05
           3     1.39957     1.39955 2.05724e-05
           4     1.39962     1.39957 2.13549e-05
           5     1.39958     1.39957 1.72323e-05
           6     1.39958     1.39958 1.44723e-05
           7     1.39957     1.39957  1.2407e-05
           8     1.39951     1.39957 1.31006e-05
           9     1.39962     1.39957 1.29277e-05
          10     1.39964     1.39958  1.3195e-05
          11     1.39959     1.39958 1.20079e-05
          12     1.39957     1.39958 1.10462e-05
          13     1.39962     1.39958 1.05906e-05
          14     1.39968     1.39959 1.19372e-05
          15     1.39967     1.39959 1.24121e-05
          16     1.39973      1.3996 1.41053e-05
          17     1.39965     1.39961 1.35002e-05
          18     1.39969     1.39961 1.35351e-05
          19     1.39966     1.39961 1.30448e-05
          20     1.39957     1.39961 1.25436e-05
          21     1.39968     1.39961 1.24352e-05
          22      1.3997     1.39962 1.24387e-05
          23     1.39974     1.39962 1.30236e-05
          24     1.39958     1.39962 1.25824e-05
          25     1.39952     1.39962 1.26693e-05
          26     1.39947     1.39961  1.3338e-05
          27      1.3996     1.39961 1.28473e-05
          28     1.39961     1.39961 1.23886e-05
          29     1.39971     1.39962 1.23892e-05
          30     1.39961     1.39962 1.19775e-05
