#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.20102     1.20102           0
           2     1.19908     1.20005 0.000684645
           3     1.19737     1.19916 0.000859893
           4     1.20132      1.1997 0.000796753
           5      1.2011     1.19998  0.00068469
           6     1.20113     1.20017 0.000596842
           7     1.20002     1.20015 0.000511942
           8     1.20231     1.20042 0.000514527
           9     1.20277     1.20068 0.000519337
          10     1.19711     1.20032 0.000577155
          11     1.19886     1.20019 0.000539799
