#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.64693     1.64693           0
           2     1.64738     1.64716 0.000160289
           3     1.65169     1.64867  0.00123778
           4     1.65683     1.65071  0.00199591
           5     1.65662     1.65189  0.00191567
           6     1.65018     1.65161  0.00161753
           7     1.64936     1.65128  0.00141781
           8     1.65479     1.65172   0.0013065
           9     1.66355     1.65304  0.00169849
          10      1.6664     1.65437  0.00198601
          11     1.63626     1.65273  0.00239292
          12     1.65315     1.65276  0.00219377
          13     1.66145     1.65343  0.00212443
          14     1.64602      1.6529  0.00203754
          15     1.64223     1.65219  0.00202221
          16     1.66042      1.6527  0.00196012
          17     1.64839     1.65245  0.00186119
          18     1.63688     1.65159  0.00194852
          19     1.63304     1.65061  0.00207612
          20     1.63395     1.64978   0.0021329
          21     1.65439        1.65  0.00204261
          22     1.64518     1.64978  0.00196147
          23     1.65524     1.65001   0.0018905
          24     1.65599     1.65026  0.00182803
          25     1.65162     1.65032  0.00175571
          26     1.65353     1.65044  0.00169253
          27     1.64705     1.65031   0.0016345
          28     1.62895     1.64955  0.00174513
          29     1.65946     1.64989  0.00171808
          30     1.63721     1.64947  0.00171202
