#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.02187    -5.02187           0
           2    -5.02256    -5.02222 0.000246245
           3    -5.02718    -5.02387  0.00136194
           4     -5.0321    -5.02593  0.00205289
           5    -5.03225    -5.02719  0.00199452
           6    -5.02536    -5.02689   0.0016853
           7    -5.02471    -5.02658  0.00147294
           8    -5.02904    -5.02689  0.00132061
           9    -5.03987    -5.02833  0.00179665
          10    -5.04271    -5.02977  0.00211591
          11    -5.01136    -5.02809  0.00249928
          12    -5.02932    -5.02819  0.00229309
          13    -5.03738     -5.0289  0.00222292
          14    -5.02109    -5.02834  0.00213306
          15    -5.01716     -5.0276  0.00211718
          16     -5.0355    -5.02809  0.00204168
          17    -5.02435    -5.02787  0.00193342
          18    -5.01246    -5.02702  0.00200664
          19    -5.00739    -5.02598  0.00215047
          20    -5.00906    -5.02514  0.00220319
          21    -5.02997    -5.02537  0.00211025
          22    -5.02073    -5.02516  0.00202483
          23    -5.03136    -5.02543  0.00195468
          24    -5.03088    -5.02565  0.00188638
          25    -5.02659    -5.02569   0.0018113
          26     -5.0296    -5.02584  0.00174787
          27    -5.02294    -5.02573  0.00168644
          28    -5.00445    -5.02497  0.00178932
          29      -5.035    -5.02532   0.0017607
          30    -5.01264     -5.0249    0.001752
