#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.16307     2.16307           0
           2      2.1762     2.16964  0.00464179
           3     2.14012      2.1598  0.00860794
           4     2.09287     2.14307    0.015864
           5     2.07757     2.12997   0.0172726
           6     2.15067     2.13342   0.0147344
           7     2.12866     2.13274   0.0126452
           8     2.18785     2.13963    0.012804
           9     2.08831     2.13392   0.0125872
          10     2.06175     2.12671   0.0132369
          11     2.21778     2.13499   0.0143916
          12     2.13442     2.13494   0.0131924
          13     2.06031      2.1292   0.0133683
          14     2.17875     2.13274   0.0128735
          15     2.22033     2.13858   0.0132737
          16     2.09701     2.13598   0.0126957
          17     2.13049     2.13566    0.011953
          18     2.17804     2.13801   0.0115185
          19     2.25171       2.144   0.0123695
          20     2.23006      2.1483   0.0124771
          21     2.12309      2.1471   0.0119406
          22     2.15788     2.14759   0.0114079
          23     2.11333      2.1461   0.0110087
          24     2.12162     2.14508   0.0105972
          25     2.13981     2.14487   0.0101754
          26     2.11537     2.14373  0.00984707
          27     2.11974     2.14284  0.00952238
          28     2.21121     2.14529  0.00949013
          29     2.10671     2.14396  0.00925564
          30     2.21931     2.14647  0.00928166
