#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.09795     1.09795           0
           2     1.09826      1.0981 0.000106859
           3     1.10113     1.09911 0.000825188
           4     1.10455     1.10047  0.00133061
           5     1.10442     1.10126  0.00127712
           6     1.10012     1.10107  0.00107835
           7     1.09958     1.10086 0.000945209
           8     1.10319     1.10115 0.000871001
           9     1.10904     1.10202  0.00113233
          10     1.11093     1.10292  0.00132401
          11     1.09084     1.10182  0.00159528
          12      1.1021     1.10184  0.00146252
          13     1.10764     1.10229  0.00141629
          14     1.09735     1.10193  0.00135836
          15     1.09482     1.10146  0.00134814
          16     1.10695      1.1018  0.00130674
          17     1.09892     1.10163  0.00124079
          18     1.09125     1.10106  0.00129901
          19     1.08869     1.10041  0.00138408
          20      1.0893     1.09985  0.00142194
          21     1.10293         1.1  0.00136174
          22     1.09678     1.09985  0.00130765
          23     1.10349     1.10001  0.00126033
          24     1.10399     1.10018  0.00121868
          25     1.10108     1.10021  0.00117047
          26     1.10235     1.10029  0.00112835
          27     1.09803     1.10021  0.00108967
          28     1.08597      1.0997  0.00116342
          29     1.10631     1.09993  0.00114539
          30     1.09148     1.09965  0.00114134
