#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.37494    -3.37494           0
           2    -3.37518    -3.37506 8.59562e-05
           3     -3.3755     -3.3752 0.000131943
           4    -3.37527    -3.37522 9.99218e-05
           5    -3.37563     -3.3753 0.000108487
           6    -3.37518    -3.37528 9.21976e-05
           7    -3.37535    -3.37529 7.95083e-05
           8    -3.37425    -3.37516 0.000140183
           9    -3.37631    -3.37529 0.000173486
          10    -3.37631    -3.37539 0.000183728
          11     -3.3751    -3.37537 0.000168925
          12    -3.37616    -3.37543 0.000167389
          13    -3.37593    -3.37547 0.000158805
          14    -3.37507    -3.37544 0.000150067
          15    -3.37493    -3.37541 0.000143842
          16    -3.37508    -3.37539 0.000136268
          17    -3.37596    -3.37542 0.000132346
          18    -3.37558    -3.37543 0.000125298
          19    -3.37435    -3.37537 0.000130909
          20    -3.37511    -3.37536 0.000125032
          21    -3.37558    -3.37537 0.000119515
          22    -3.37555    -3.37538  0.00011437
          23    -3.37612    -3.37541 0.000113896
          24    -3.37489    -3.37539 0.000111188
          25    -3.37497    -3.37537 0.000107975
          26    -3.37607     -3.3754 0.000107089
          27    -3.37589    -3.37542 0.000104637
          28     -3.3755    -3.37542 0.000100939
          29    -3.37554    -3.37542  9.7537e-05
          30    -3.37543    -3.37542 9.42857e-05
