#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.66076    -6.66076           0
           2    -6.65868    -6.65972 0.000734935
           3    -6.65657    -6.65867 0.000987218
           4    -6.66067    -6.65917 0.000857863
           5    -6.66081     -6.6595 0.000745916
           6    -6.66126    -6.65979 0.000676726
           7    -6.66025    -6.65986 0.000583224
           8    -6.66273    -6.66022  0.00061069
           9    -6.66215    -6.66043 0.000579494
          10    -6.65632    -6.66002 0.000651259
          11    -6.65882    -6.65991 0.000601169
