#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     9.61958     9.61958           0
           2     9.62432     9.62195  0.00167686
           3     9.61761      9.6205  0.00162611
           4     9.60303     9.61613  0.00397365
           5     9.59675     9.61226  0.00470402
           6     9.61098     9.61204  0.00392484
           7     9.60654     9.61126  0.00344205
           8     9.60674     9.61069  0.00305778
           9     9.59413     9.60885   0.0032244
          10     9.62263     9.61023  0.00318278
          11     9.62455     9.61153  0.00314851
