#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.20102     1.20102           0
           2     1.19908     1.20005 0.000684645
           3     1.19737     1.19916 0.000859893
           4     1.20132      1.1997 0.000796753
           5      1.2011     1.19998  0.00068469
           6     1.20113     1.20017 0.000596842
           7     1.20002     1.20015 0.000511942
           8     1.20231     1.20042 0.000514527
           9     1.20277     1.20068 0.000519337
          10     1.19711     1.20032 0.000577155
          11     1.19886     1.20019 0.000539799
          12     1.20048     1.20021 0.000495351
          13     1.20044     1.20023  0.00045756
          14     1.20068     1.20026 0.000425997
          15     1.20022     1.20026 0.000397609
          16     1.20064     1.20028 0.000373477
          17     1.19975     1.20025 0.000352831
          18     1.19906     1.20019 0.000339384
          19     1.20056     1.20021 0.000322103
          20     1.19973     1.20018  0.00030689
          21     1.20105     1.20022 0.000295055
          22      1.2026     1.20033 0.000300796
          23     1.20043     1.20034 0.000287747
          24     1.20073     1.20035 0.000276235
          25     1.20136     1.20039 0.000268104
          26     1.20075     1.20041 0.000258135
          27     1.20245     1.20048 0.000259417
          28     1.19897     1.20043  0.00025568
          29     1.20025     1.20042 0.000246935
          30     1.20275      1.2005  0.00025059
