#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.66076    -6.66076           0
           2    -6.65868    -6.65972 0.000734935
           3    -6.65657    -6.65867 0.000987218
           4    -6.66067    -6.65917 0.000857863
           5    -6.66081     -6.6595 0.000745916
           6    -6.66126    -6.65979 0.000676726
           7    -6.66025    -6.65986 0.000583224
           8    -6.66273    -6.66022  0.00061069
           9    -6.66215    -6.66043 0.000579494
          10    -6.65632    -6.66002 0.000651259
          11    -6.65882    -6.65991 0.000601169
          12    -6.66059    -6.65997 0.000553703
          13    -6.66055    -6.66001 0.000512933
          14    -6.66049    -6.66005 0.000477425
          15    -6.66008    -6.66005 0.000445601
          16    -6.66048    -6.66008 0.000418567
          17       -6.66    -6.66007 0.000393968
          18    -6.65896    -6.66001 0.000376927
          19     -6.6606    -6.66004 0.000358349
          20    -6.65984    -6.66003 0.000340574
          21    -6.66113    -6.66008 0.000328362
          22     -6.6628    -6.66021 0.000335841
          23    -6.66066    -6.66023  0.00032183
          24     -6.6602    -6.66022 0.000308423
          25    -6.66141    -6.66027 0.000299731
          26    -6.66072    -6.66029 0.000288693
          27    -6.66241    -6.66037 0.000288522
          28    -6.65873    -6.66031 0.000284068
          29    -6.65994     -6.6603 0.000274551
          30    -6.66259    -6.66037 0.000275803
