#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     9.61958     9.61958           0
           2     9.62432     9.62195  0.00167686
           3     9.61761      9.6205  0.00162611
           4     9.60303     9.61613  0.00397365
           5     9.59675     9.61226  0.00470402
           6     9.61098     9.61204  0.00392484
           7     9.60654     9.61126  0.00344205
           8     9.60674     9.61069  0.00305778
           9     9.59413     9.60885   0.0032244
          10     9.62263     9.61023  0.00318278
          11     9.62455     9.61153  0.00314851
          12     9.60792     9.61123  0.00290052
          13      9.6121      9.6113  0.00267818
          14     9.60526     9.61087  0.00252142
          15     9.61231     9.61096  0.00235515
          16     9.60538     9.61061  0.00223365
          17      9.6211     9.61123  0.00218573
          18      9.6194     9.61168  0.00211093
          19     9.61105     9.61165  0.00200009
          20     9.61144     9.61164  0.00190011
          21     9.60119     9.61114   0.0018737
          22     9.60484     9.61086  0.00181033
          23     9.62755     9.61158  0.00187148
          24     9.60366     9.61125  0.00182235
          25     9.59791     9.61072  0.00182594
          26     9.61315     9.61081   0.0017581
          27     9.60503      9.6106    0.001706
          28     9.61079     9.61061  0.00164508
          29     9.62006     9.61093  0.00162036
          30     9.59716     9.61047  0.00163004
