#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.800679    0.800679           0
           2    0.799388    0.800033  0.00045643
           3    0.798248    0.799438 0.000573262
           4    0.800879    0.799798 0.000531169
           5     0.80073    0.799985  0.00045646
           6    0.800752    0.800112 0.000397895
           7    0.800015    0.800099 0.000341295
           8    0.801542    0.800279 0.000343018
           9    0.801845    0.800453 0.000346225
          10    0.798074    0.800215  0.00038477
          11    0.799239    0.800126 0.000359866
          12    0.800319    0.800142 0.000330234
          13    0.800295    0.800154  0.00030504
          14    0.800453    0.800175 0.000283998
          15    0.800144    0.800173 0.000265073
          16    0.800428    0.800189 0.000248985
          17    0.799833    0.800168 0.000235221
          18    0.799374    0.800124 0.000226256
          19    0.800376    0.800137 0.000214736
          20    0.799818    0.800121 0.000204593
          21    0.800701    0.800149 0.000196703
          22    0.801735    0.800221 0.000200531
          23    0.800285    0.800224 0.000191831
          24    0.800489    0.800235 0.000184157
          25    0.800906    0.800262 0.000178736
          26    0.800497    0.800271  0.00017209
          27    0.801632    0.800321 0.000172945
          28    0.799316    0.800285 0.000170453
          29    0.800168    0.800281 0.000164623
          30    0.801833    0.800333  0.00016706
