#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.45974    -5.45974           0
           2     -5.4596    -5.45967 5.02903e-05
           3     -5.4592    -5.45952 0.000132604
           4    -5.45936    -5.45948 0.000105299
           5    -5.45971    -5.45952  9.4213e-05
           6    -5.46013    -5.45962 0.000121267
           7    -5.46023    -5.45971 0.000131194
           8    -5.46041     -5.4598 0.000141244
           9    -5.45939    -5.45975 0.000132776
          10    -5.45921     -5.4597 0.000130103
          11    -5.45996    -5.45972 0.000120405
          12    -5.46011    -5.45975 0.000114616
          13    -5.46011    -5.45978 0.000109013
          14    -5.45981    -5.45978 0.000101245
          15    -5.45986    -5.45979 9.46264e-05
          16    -5.45984    -5.45979 8.87621e-05
          17    -5.46025    -5.45982 8.75802e-05
          18    -5.45989    -5.45982  8.2816e-05
          19    -5.46003    -5.45983 7.91807e-05
          20    -5.46011    -5.45985 7.64297e-05
          21    -5.46008    -5.45986  7.3578e-05
          22     -5.4602    -5.45987 7.18152e-05
          23    -5.46024    -5.45989 7.04004e-05
          24    -5.45946    -5.45987 6.96994e-05
          25    -5.46006    -5.45988 6.72932e-05
          26    -5.45997    -5.45988 6.47998e-05
          27    -5.45997    -5.45989 6.24714e-05
          28    -5.45976    -5.45988 6.04066e-05
          29    -5.45969    -5.45988 5.86739e-05
          30    -5.45984    -5.45987 5.67313e-05
