#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.800679    0.800679           0
           2    0.799388    0.800033  0.00045643
           3    0.798248    0.799438 0.000573262
           4    0.800879    0.799798 0.000531169
           5     0.80073    0.799985  0.00045646
           6    0.800752    0.800112 0.000397895
           7    0.800015    0.800099 0.000341295
           8    0.801542    0.800279 0.000343018
           9    0.801845    0.800453 0.000346225
          10    0.798074    0.800215  0.00038477
          11    0.799239    0.800126 0.000359866
