#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.45974    -5.45974           0
           2     -5.4596    -5.45967 5.02903e-05
           3     -5.4592    -5.45952 0.000132604
           4    -5.45936    -5.45948 0.000105299
           5    -5.45971    -5.45952  9.4213e-05
           6    -5.46013    -5.45962 0.000121267
           7    -5.46023    -5.45971 0.000131194
           8    -5.46041     -5.4598 0.000141244
           9    -5.45939    -5.45975 0.000132776
          10    -5.45921     -5.4597 0.000130103
          11    -5.45996    -5.45972 0.000120405
