#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:        T:
             50       0.924062       0.885982     0.00472924            0.5
             50       0.680193       0.660462     0.00449137       0.607143
             50       0.424785       0.419349     0.00306585       0.714286
             50       0.277673       0.267423     0.00204876       0.821429
             50       0.187849       0.183912     0.00136509       0.928571
             50       0.130868       0.131667     0.00118611        1.03571
             50      0.0914436      0.0994615    0.000919999        1.14286
             50      0.0768104      0.0779243    0.000757099           1.25
             50        0.06319      0.0631312    0.000586467        1.35714
             50      0.0504984       0.053013    0.000507036        1.46429
             50      0.0417608      0.0449871    0.000454269        1.57143
             50      0.0369228      0.0392547    0.000372296        1.67857
             50       0.033616      0.0345804    0.000318651        1.78571
             50      0.0294236       0.030444    0.000273798        1.89286
             50      0.0266888      0.0273057    0.000258821              2
