#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:        T:
             50       0.886623       0.889181     0.00358784            0.5
             50       0.617188       0.654316     0.00384736       0.607143
             50       0.423859       0.417934     0.00244082       0.714286
             50       0.257269       0.264311      0.0018257       0.821429
             50       0.183943       0.181287     0.00110902       0.928571
             50       0.127586       0.130965    0.000901322        1.03571
             50      0.0990748       0.100169    0.000666115        1.14286
             50      0.0765092      0.0796997    0.000510518           1.25
             50       0.063968      0.0636367    0.000414552        1.35714
             50      0.0487852      0.0531262    0.000391264        1.46429
             50      0.0426632      0.0458945    0.000302895        1.57143
             50      0.0372184      0.0393825    0.000258414        1.67857
             50      0.0351544      0.0342935    0.000204295        1.78571
             50      0.0313892      0.0305549    0.000295821        1.89286
             50      0.0290096      0.0274394    0.000212995              2
