#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:        T:
             50      -0.260875     -0.0142848      0.0210319            0.5
             50      0.0906192    -0.00203788     0.00927642       0.607143
             50     -0.0194192     -0.0049056     0.00371233       0.714286
             50      -0.015642    -0.00363277     0.00248466       0.821429
             50     -0.0170384    -0.00274983     0.00153064       0.928571
             50     -0.0048312    0.000942456     0.00124823        1.03571
             50      0.0050708   -0.000679488    0.000940495        1.14286
             50       0.000232    -6.3712e-05    0.000673279           1.25
             50     -0.0020244    0.000894968     0.00052878        1.35714
             50     -0.0050912    0.000164648    0.000446657        1.46429
             50      -0.004362    0.000203536    0.000393628        1.57143
             50      -0.002932   -0.000220928    0.000364045        1.67857
             50      0.0007816   -0.000323088    0.000402326        1.78571
             50      0.0003912   -0.000108488    0.000295208        1.89286
             50      0.0014528   -0.000267016    0.000238281              2
