#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:        T:
          50    0.323878    0.326498  0.00266942         0.5
          50    0.436504    0.424345  0.00116316    0.607143
          50    0.429794    0.433981  0.00125835    0.714286
          50    0.437311     0.44017 0.000885203    0.821429
          50    0.428597    0.432241 0.000674453    0.928571
          50    0.417959    0.412019 0.000486623     1.03571
          50    0.386192     0.38613 0.000317606     1.14286
          50    0.356869    0.357785 0.000287309        1.25
          50    0.328309      0.3287 0.000289965     1.35714
          50    0.301599    0.301956  0.00028124     1.46429
          50    0.276972    0.276602 0.000217493     1.57143
          50    0.253333    0.253325 0.000192081     1.67857
          50    0.232186      0.2322 0.000177493     1.78571
          50    0.213967    0.213327 0.000158088     1.89286
          50    0.196327    0.196356 0.000155562           2
