#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:        T:
          50     80.7563      79.446    0.287123         0.5
          50     42.5162     42.3032    0.210087    0.607143
          50     22.7111     22.8164   0.0974679    0.714286
          50     13.5969     13.8225   0.0523569    0.821429
          50     8.83213     9.30882   0.0313841    0.928571
          50     6.59442      6.6374   0.0159029     1.03571
          50     4.85478     5.03431   0.0117649     1.14286
          50     3.89009     3.96272  0.00749928        1.25
          50     3.18369     3.20988   0.0055054     1.35714
          50     2.67211     2.68099  0.00462273     1.46429
          50     2.29238     2.27678  0.00382594     1.57143
          50      1.9685     1.96117  0.00315733     1.67857
          50     1.72952     1.71574  0.00229406     1.78571
          50     1.52415     1.51704  0.00210889     1.89286
          50     1.39186     1.36009  0.00177667           2
