#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:        T::
          50   -0.975377    -0.97451 0.000283284         0.5
          50   -0.932022   -0.932046  0.00027262    0.607143
          50   -0.885344   -0.885716 0.000180061    0.714286
          50   -0.838803   -0.838652 0.000151295    0.821429
          50   -0.792142   -0.792048 0.000133537    0.928571
          50   -0.747823   -0.746642 0.000115831     1.03571
          50    -0.70397   -0.703904 0.000101262     1.14286
          50   -0.663024   -0.664074 0.000111565        1.25
          50   -0.626757   -0.627145 0.000106004     1.35714
          50   -0.594454   -0.593364 8.23467e-05     1.46429
          50   -0.562546     -0.5623 8.37882e-05     1.57143
          50    -0.53396   -0.533869 8.02374e-05     1.67857
          50   -0.507893   -0.507897 8.12178e-05     1.78571
          50   -0.484446   -0.483981 8.56068e-05     1.89286
          50    -0.46292    -0.46205 7.63907e-05           2
