#   N_BLOCK:  ACCEPTANCE:
           1    0.538024
           2    0.537764
           3    0.537684
           4    0.537625
           5    0.537686
           6    0.537769
           7    0.537757
           8    0.537721
           9    0.537678
          10    0.537733
          11      0.5377
          12    0.537759
          13    0.537752
          14    0.537766
          15    0.537771
          16    0.537729
          17    0.537736
          18    0.537721
          19    0.537695
          20    0.537732
          21    0.537764
          22     0.53777
          23    0.537802
          24    0.537783
          25    0.537778
          26    0.537784
          27    0.537763
          28    0.537774
          29     0.53776
          30    0.537774
          31     0.53778
          32      0.5378
          33     0.53782
          34    0.537826
          35    0.537826
          36    0.537847
          37     0.53783
          38    0.537829
          39    0.537838
          40    0.537856
          41    0.537855
          42    0.537857
          43    0.537853
          44     0.53785
          45    0.537851
          46    0.537852
          47    0.537862
          48    0.537879
          49    0.537883
          50    0.537891
