#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:        T:
             50     -0.0110136      0.0079311      0.0159714            0.5
             50      -0.060604     0.00223695     0.00625429       0.607143
             50      0.0055012    -0.00178537     0.00334279       0.714286
             50     -0.0055836   -0.000613096     0.00171965       0.821429
             50       0.009302     1.1768e-05      0.0011921       0.928571
             50     -0.0044444   -0.000939672     0.00102292        1.03571
             50      0.0025976     0.00103338    0.000716785        1.14286
             50       0.000212     -8.508e-05    0.000470326           1.25
             50     -0.0067564   -0.000715304    0.000389215        1.35714
             50     -0.0012512   -0.000105776    0.000440713        1.46429
             50     -0.0014648   -0.000411464    0.000347492        1.57143
             50      0.0014344   -0.000314744    0.000294841        1.67857
             50      0.0018228     -0.0001522    0.000318852        1.78571
             50      0.0012456    0.000626688    0.000249302        1.89286
             50     -0.0003604    0.000431296    0.000240253              2
