#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:        T:
          50     77.7676     79.1153    0.212368         0.5
          50     43.1294     42.4411    0.148324    0.607143
          50     22.9385     22.9099   0.0924437    0.714286
          50     14.2255     13.8974    0.040291    0.821429
          50      9.2333     9.29286   0.0191029    0.928571
          50     6.69542     6.67357   0.0144196     1.03571
          50     4.96062     5.04181  0.00859023     1.14286
          50     3.94322     3.97186  0.00501993        1.25
          50     3.21197     3.21705   0.0047141     1.35714
          50     2.66845     2.67084  0.00380127     1.46429
          50     2.28728     2.27059   0.0030084     1.57143
          50     1.96927      1.9586  0.00273799     1.67857
          50     1.70854     1.71686    0.001611     1.78571
          50     1.51836     1.52209   0.0017251     1.89286
          50      1.3749     1.36016  0.00119335           2
