#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:        T::
          50   -0.973217   -0.974189  0.00021671         0.5
          50   -0.932964   -0.932148  0.00019783    0.607143
          50   -0.885839   -0.885892 0.000178582    0.714286
          50   -0.839982   -0.838856 0.000141626    0.821429
          50    -0.79314   -0.791949 0.000100856    0.928571
          50   -0.748325   -0.746837 0.000109216     1.03571
          50   -0.704055   -0.703902 0.000103271     1.14286
          50    -0.66499   -0.664085 8.22283e-05        1.25
          50   -0.627908   -0.627214 8.04878e-05     1.35714
          50   -0.594697    -0.59334 7.83241e-05     1.46429
          50   -0.563211   -0.562378 7.17443e-05     1.57143
          50   -0.533707   -0.534007 8.63563e-05     1.67857
          50   -0.507354   -0.507923 7.70192e-05     1.78571
          50   -0.484638   -0.484097 6.40907e-05     1.89286
          50   -0.461965   -0.462074  7.5671e-05           2
