#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.229484   -0.229484           0
           2   -0.345734   -0.287609   0.0411008
           3   -0.349584   -0.308268   0.0321761
           4   -0.337936   -0.315685   0.0249723
           5   -0.385989   -0.329746   0.0236068
           6   -0.374312   -0.337173   0.0208081
           7   -0.384438   -0.343925   0.0188993
           8   -0.474638   -0.360265   0.0225181
           9   -0.397988   -0.364456   0.0204025
          10   -0.354667   -0.363477   0.0183857
          11   -0.390259   -0.365912   0.0168747
          12   -0.458958   -0.373666   0.0171577
          13   -0.375207   -0.373784   0.0158383
          14   -0.393511   -0.375193   0.0147695
          15   -0.426103   -0.378587   0.0141695
          16   -0.411157   -0.380623   0.0134293
          17   -0.367098   -0.379827   0.0126629
          18   -0.344479   -0.377864   0.0121107
          19    -0.37676   -0.377805   0.0114734
          20   -0.374684   -0.377649   0.0109008
          21   -0.310098   -0.374433    0.010846
          22    -0.33134   -0.372474   0.0105284
          23   -0.353822   -0.371663   0.0101018
          24   -0.387976   -0.372343  0.00970373
          25   -0.406442   -0.373707  0.00941096
          26     -0.4457   -0.376476  0.00944757
          27     -0.4226   -0.378184  0.00925082
          28   -0.501438   -0.382586  0.00991257
          29   -0.475202   -0.385779   0.0100721
          30   -0.380174   -0.385593   0.0097381
          31   -0.482881   -0.388731  0.00991678
          32   -0.350701   -0.387543  0.00967783
          33   -0.384317   -0.387445  0.00938506
          34    -0.43332   -0.388794  0.00920551
          35    -0.46001   -0.390829  0.00916461
          36   -0.454835   -0.392607  0.00908086
          37   -0.380636   -0.392283   0.0088412
          38   -0.445193   -0.393676  0.00871748
          39   -0.468739     -0.3956  0.00870384
          40   -0.442991   -0.396785   0.0085665
          41   -0.459962   -0.398326  0.00849501
          42   -0.434349   -0.399184  0.00833594
          43   -0.552042   -0.402738  0.00886772
          44   -0.435887   -0.403492  0.00869812
          45    -0.38623   -0.403108  0.00851329
          46    -0.36746   -0.402333  0.00836341
          47   -0.381182   -0.401883  0.00819757
          48   -0.407744   -0.402005  0.00802769
          49   -0.349774   -0.400939  0.00793432
          50    -0.35175   -0.399956  0.00783638
          51   -0.520798   -0.402325  0.00803297
          52   -0.488314   -0.403979  0.00804689
          53   -0.479026   -0.405395  0.00801868
          54   -0.474128   -0.406668  0.00797057
          55   -0.377265   -0.406133  0.00784356
          56   -0.475345   -0.407369  0.00780026
          57   -0.428265   -0.407735  0.00767202
          58   -0.363358    -0.40697   0.0075778
          59   -0.425953   -0.407292  0.00745619
          60   -0.382536   -0.406879  0.00734333
          61   -0.375669   -0.406368  0.00724075
          62   -0.403818   -0.406327  0.00712408
          63   -0.408791   -0.406366  0.00701111
          64   -0.341392   -0.405351  0.00697468
          65   -0.347768   -0.404465  0.00692341
          66   -0.355177   -0.403718  0.00685866
          67   -0.361684   -0.403091  0.00678493
          68    -0.37669   -0.402702  0.00669625
          69   -0.385822   -0.402458  0.00660367
          70   -0.385216   -0.402211  0.00651392
          71   -0.366536   -0.401709  0.00644153
          72   -0.384349   -0.401468  0.00635657
          73   -0.375864   -0.401117  0.00627916
          74   -0.371285   -0.400714  0.00620724
          75   -0.408839   -0.400822  0.00612542
          76   -0.473499   -0.401779  0.00611901
          77   -0.493039   -0.402964  0.00615326
          78   -0.487189   -0.404044  0.00616839
          79   -0.427676   -0.404343  0.00609755
          80   -0.442947   -0.404825   0.0060404
          81   -0.505604   -0.406069  0.00609261
          82   -0.451414   -0.406622  0.00604336
          83   -0.437064   -0.406989  0.00598166
          84   -0.425552    -0.40721  0.00591453
          85   -0.384791   -0.406946  0.00585083
          86   -0.445811   -0.407398  0.00580022
          87   -0.517893   -0.408668  0.00587096
          88   -0.448059   -0.409116  0.00582128
          89   -0.505478   -0.410199   0.0058557
          90   -0.483729   -0.411016  0.00584735
          91   -0.486659   -0.411847  0.00584188
          92   -0.412012   -0.411849  0.00577838
          93   -0.410042   -0.411829  0.00571628
          94   -0.466147   -0.412407   0.0056846
          95   -0.427157   -0.412562  0.00562688
          96   -0.379414   -0.412217  0.00557885
          97   -0.378248   -0.411867  0.00553232
          98   -0.362531   -0.411364  0.00549873
          99   -0.338703    -0.41063  0.00549195
         100   -0.415896   -0.410682  0.00543728
         101   -0.357073   -0.410151  0.00540929
         102   -0.322061   -0.409288  0.00542476
         103   -0.321052   -0.408431  0.00543931
         104   -0.387126   -0.408226  0.00539087
         105   -0.310593   -0.407296  0.00541913
         106   -0.468418   -0.407873  0.00539859
         107   -0.517768     -0.4089  0.00544496
         108   -0.446449   -0.409248  0.00540563
         109   -0.470323   -0.409808    0.005385
         110   -0.390249    -0.40963  0.00533898
         111   -0.468606   -0.410162  0.00531725
         112   -0.447563   -0.410496  0.00528025
         113   -0.454156   -0.410882  0.00524764
         114   -0.357547   -0.410414  0.00522242
         115   -0.343984   -0.409836  0.00520886
         116   -0.370201   -0.409495  0.00517515
         117   -0.378164   -0.409227  0.00513784
         118   -0.365786   -0.408859  0.00510748
         119   -0.370403   -0.408536  0.00507477
         120    -0.45173   -0.408896  0.00504523
         121   -0.346029   -0.408376  0.00503021
         122   -0.426073   -0.408521  0.00499107
         123   -0.418756   -0.408604  0.00495119
         124   -0.438904   -0.408849  0.00491729
         125   -0.320021   -0.408138  0.00492903
         126   -0.371896    -0.40785  0.00489829
         127   -0.469928   -0.408339  0.00488405
         128   -0.492399   -0.408996  0.00488985
         129   -0.519061   -0.409849  0.00492582
         130   -0.540032   -0.410851  0.00498868
         131   -0.416323   -0.410892  0.00495078
         132   -0.409276    -0.41088  0.00491328
         133   -0.489501   -0.411471  0.00491177
         134   -0.436745    -0.41166  0.00487874
         135   -0.419066   -0.411715  0.00484291
         136   -0.365589   -0.411376  0.00481916
         137   -0.416441   -0.411413  0.00478413
         138   -0.454398   -0.411724  0.00475959
         139   -0.468866   -0.412135  0.00474307
         140   -0.435778   -0.412304  0.00471219
         141   -0.379831   -0.412074   0.0046844
         142   -0.352946   -0.411657  0.00466988
         143   -0.398018   -0.411562   0.0046382
         144   -0.431424     -0.4117  0.00460804
         145   -0.365534   -0.411381  0.00458724
         146   -0.382587   -0.411184  0.00456006
         147    -0.41955   -0.411241   0.0045294
         148   -0.383844   -0.411056  0.00450257
         149   -0.344305   -0.410608  0.00449459
         150   -0.389336   -0.410466  0.00446686
         151   -0.440153   -0.410663   0.0044416
         152   -0.387237   -0.410509  0.00441505
         153   -0.375091   -0.410277  0.00439226
         154   -0.361369    -0.40996  0.00437521
         155   -0.421874   -0.410036  0.00434766
         156    -0.43174   -0.410176  0.00432201
         157    -0.44798   -0.410416  0.00430119
         158    -0.48032   -0.410859  0.00429666
         159   -0.421248   -0.410924  0.00427013
         160   -0.485977   -0.411393  0.00426913
         161   -0.444266   -0.411597  0.00424749
         162   -0.431115   -0.411718  0.00422298
         163   -0.462129   -0.412027  0.00420838
         164   -0.425177   -0.412107  0.00418349
         165   -0.422227   -0.412169  0.00415858
         166   -0.437959   -0.412324  0.00413643
         167    -0.40954   -0.412307   0.0041117
         168   -0.502786   -0.412846  0.00412234
         169   -0.476123    -0.41322  0.00411492
         170   -0.396264   -0.413121  0.00409192
         171   -0.356663    -0.41279  0.00408129
         172    -0.37415   -0.412566  0.00406374
         173   -0.364086   -0.412286   0.0040499
         174   -0.388032   -0.412146  0.00402902
         175   -0.344477    -0.41176  0.00402451
         176   -0.403513   -0.411713  0.00400192
         177   -0.403413   -0.411666  0.00397959
         178     -0.3748   -0.411459  0.00396261
         179    -0.39255   -0.411353  0.00394188
         180   -0.398712   -0.411283  0.00392061
         181   -0.509868   -0.411827   0.0039366
         182   -0.373372   -0.411616  0.00392064
         183   -0.372565   -0.411403  0.00390502
         184   -0.388843    -0.41128  0.00388572
         185   -0.419893   -0.411327  0.00386499
         186   -0.448974   -0.411529  0.00384951
         187   -0.421473   -0.411582  0.00382929
         188   -0.399584   -0.411518  0.00380945
         189   -0.422396   -0.411576  0.00378973
         190   -0.428716   -0.411666  0.00377086
         191   -0.403253   -0.411622  0.00375138
