#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.59395    -6.59395           0
           2    -6.49537    -6.54466   0.0348533
           3    -6.39229    -6.49387   0.0475366
           4    -6.33035    -6.45299   0.0502443
           5     -6.3027    -6.42293   0.0483579
           6    -6.17707    -6.38196   0.0549837
           7     -6.0939     -6.3408   0.0606023
           8    -6.02989    -6.30194   0.0642923
           9     -6.0186    -6.27046   0.0643968
          10    -5.91133    -6.23454   0.0672295
          11    -5.96457       -6.21   0.0654446
          12    -6.01259    -6.19355    0.062024
          13    -5.91652    -6.17224   0.0608037
          14    -5.83217    -6.14795   0.0611203
          15    -5.80705    -6.12522   0.0611251
          16    -5.88283    -6.11007   0.0591524
          17    -5.91335     -6.0985   0.0567934
          18     -5.8947    -6.08718   0.0547552
          19    -5.89629    -6.07713    0.052787
          20    -5.86265    -6.06641   0.0512255
          21    -5.79229    -6.05335   0.0504219
          22     -5.7576    -6.03991   0.0498899
          23    -5.87675    -6.03282   0.0482225
          24    -5.91918    -6.02808   0.0464451
          25    -5.91122    -6.02341   0.0448219
          26    -5.76631    -6.01352   0.0441753
          27    -5.88147    -6.00863    0.042809
          28    -5.78893    -6.00078    0.041993
          29    -5.77418    -5.99297   0.0412656
          30    -5.76834    -5.98548   0.0405637
          31    -5.74588    -5.97775   0.0399847
          32    -5.78997    -5.97188   0.0391634
          33    -5.88316     -5.9692   0.0380689
          34    -5.88203    -5.96663   0.0370354
          35    -5.85701     -5.9635   0.0361094
          36    -5.79518    -5.95882   0.0354078
          37    -5.71193    -5.95215    0.035074
          38    -5.79296    -5.94796   0.0344002
          39    -5.79051    -5.94393   0.0337542
          40    -5.69991    -5.93783   0.0334571
          41    -5.56466    -5.92872   0.0338564
          42    -5.47938    -5.91802   0.0346996
          43    -5.63329     -5.9114   0.0345186
          44    -5.66604    -5.90583   0.0341816
          45    -5.66826    -5.90055   0.0338272
          46    -5.73358    -5.89692    0.033286
          47    -5.87108    -5.89637   0.0325823
          48    -5.86259    -5.89566   0.0319111
          49    -5.80492    -5.89381   0.0313136
          50    -5.76847    -5.89131   0.0307875
          51    -5.84797    -5.89046   0.0301955
          52    -5.79847    -5.88869   0.0296666
          53    -5.90322    -5.88896   0.0291081
          54    -5.95992    -5.89027   0.0285987
          55    -5.93489    -5.89109   0.0280903
          56     -5.8698    -5.89071   0.0275912
          57    -5.79996    -5.88911   0.0271531
          58    -5.71727    -5.88615   0.0268461
          59    -5.67966    -5.88265   0.0266182
          60    -5.71876    -5.87992   0.0263143
          61    -5.73745    -5.87758   0.0259864
          62    -5.71168    -5.87491   0.0257047
          63    -5.70682    -5.87224   0.0254348
          64    -5.70206    -5.86958    0.025176
          65    -5.78894    -5.86834   0.0248192
          66    -5.75135    -5.86657   0.0245064
          67     -5.7652    -5.86505   0.0241872
          68    -5.84407    -5.86475   0.0238335
          69    -5.79439    -5.86373   0.0235099
          70    -5.76254    -5.86228   0.0232184
          71    -5.74897    -5.86069   0.0229462
          72    -5.75355     -5.8592   0.0226757
          73    -5.89346    -5.85967   0.0223699
          74    -5.81464    -5.85906   0.0220759
          75    -5.69655    -5.85689   0.0218876
          76    -5.72867     -5.8552   0.0216646
          77    -5.69206    -5.85309   0.0214866
          78    -5.70707    -5.85121   0.0212925
          79    -5.63911    -5.84853   0.0211916
          80    -5.68553    -5.84649   0.0210244
          81    -5.77483    -5.84561   0.0207834
          82     -5.7919    -5.84495   0.0205403
          83    -5.78095    -5.84418   0.0203073
          84    -5.78888    -5.84352   0.0200762
          85     -5.7906     -5.8429   0.0198497
          86    -5.82966    -5.84275   0.0196195
          87    -5.75105    -5.84169   0.0194222
          88    -5.85718    -5.84187   0.0192023
          89    -5.83808    -5.84182   0.0189866
          90    -5.81856    -5.84157   0.0187774
          91    -5.74454     -5.8405   0.0186013
          92    -5.76539    -5.83968    0.018417
          93    -5.79682    -5.83922   0.0182248
          94    -5.74983    -5.83827   0.0180557
          95    -5.66906    -5.83649   0.0179533
          96    -5.63895    -5.83443   0.0178838
          97    -5.69668    -5.83301   0.0177557
          98    -5.68366    -5.83149   0.0176398
          99    -5.71956    -5.83036   0.0174978
         100    -5.69602    -5.82901   0.0173743
         101    -5.70727    -5.82781   0.0172441
         102     -5.7127    -5.82668   0.0171119
         103    -5.62992    -5.82477   0.0170521
         104    -5.63958    -5.82299   0.0169808
         105    -5.67212    -5.82155   0.0168798
         106    -5.72784    -5.82067   0.0167437
         107    -5.63474    -5.81893   0.0166771
         108    -5.59492    -5.81686   0.0166512
         109    -5.60704    -5.81493   0.0166093
         110    -5.65134    -5.81345   0.0165248
         111    -5.67144    -5.81217   0.0164253
         112    -5.71458    -5.81129   0.0163018
         113     -5.7464    -5.81072   0.0161676
         114    -5.62512    -5.80909   0.0161076
