#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -8.48016    -8.48016           0
           2    -8.36132    -8.42074   0.0420163
           3    -8.26672     -8.3694   0.0504168
           4    -8.17713    -8.32133   0.0562376
           5    -8.12628    -8.28232   0.0569351
           6       -8.03    -8.24027    0.061032
           7     -7.9955     -8.2053   0.0615196
           8    -7.96812    -8.17565   0.0605537
           9    -7.88038    -8.14284   0.0620801
          10    -7.85534    -8.11409   0.0621743
          11     -7.8401    -8.08919   0.0613089
          12    -7.85446    -8.06962   0.0592381
          13    -7.76331    -8.04606   0.0591823
          14    -7.74069    -8.02425   0.0588374
          15    -7.65623    -7.99971    0.059812
          16    -7.71482    -7.98191   0.0586643
          17    -7.62821     -7.9611   0.0587873
          18    -7.48777    -7.93481   0.0611204
          19    -7.50222    -7.91204   0.0619992
          20      -7.522    -7.89254   0.0618905
          21    -7.47023    -7.87243   0.0621245
          22    -7.51135    -7.85601   0.0614304
          23    -7.54451    -7.84247    0.060234
          24    -7.57928     -7.8315   0.0587141
          25    -7.54781    -7.82016   0.0574516
          26    -7.48411    -7.80723   0.0566771
          27    -7.55629    -7.79794   0.0553348
          28    -7.56118    -7.78948   0.0540008
          29     -7.5124    -7.77993   0.0529772
          30    -7.51666    -7.77115    0.051933
          31    -7.56655    -7.76455   0.0506754
          32    -7.60959    -7.75971   0.0493227
          33    -7.62413     -7.7556   0.0479988
          34    -7.65872    -7.75275   0.0466716
          35     -7.6077    -7.74861   0.0455218
          36    -7.60961    -7.74475   0.0444207
          37    -7.49717    -7.73805   0.0437212
          38    -7.51228    -7.73211   0.0429724
          39    -7.52813    -7.72688   0.0421877
          40    -7.44807    -7.71991   0.0417048
          41    -7.43163    -7.71288   0.0412761
          42    -7.36676    -7.70464   0.0411078
          43    -7.37251    -7.69692    0.040871
          44     -7.4262    -7.69076   0.0404026
          45    -7.40883     -7.6845   0.0399876
          46    -7.38719    -7.67804   0.0396371
          47    -7.47737    -7.67377   0.0390231
          48    -7.50889    -7.67033   0.0383609
          49    -7.51537    -7.66717   0.0377082
          50    -7.55201    -7.66487   0.0370243
          51    -7.63008    -7.66418   0.0363046
          52    -7.60417    -7.66303   0.0356248
          53    -7.65176    -7.66282   0.0349533
          54    -7.65819    -7.66273   0.0343061
          55    -7.65349    -7.66256   0.0336827
          56    -7.60488    -7.66153    0.033097
          57    -7.62081    -7.66082   0.0325241
          58    -7.61588    -7.66004   0.0319725
          59     -7.6031    -7.65908   0.0314452
          60    -7.56999    -7.65759   0.0309562
          61    -7.60641    -7.65675     0.03046
          62    -7.54689    -7.65498   0.0300203
          63    -7.60697    -7.65422   0.0295534
          64    -7.59106    -7.65323   0.0291081
          65    -7.63063    -7.65289   0.0286624
          66    -7.61472    -7.65231   0.0282339
          67    -7.60708    -7.65163   0.0278206
          68    -7.60671    -7.65097   0.0274193
          69    -7.60097    -7.65025   0.0270315
          70    -7.53275    -7.64857   0.0266974
          71    -7.47469    -7.64612   0.0264335
          72    -7.48364    -7.64386   0.0261625
          73    -7.58536    -7.64306   0.0258164
          74    -7.57549    -7.64215   0.0254836
          75    -7.58983    -7.64145   0.0251534
          76    -7.56599    -7.64046    0.024842
