#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0482516   0.0482516           0
           2   0.0480191   0.0481353 8.22183e-05
           3   0.0488137   0.0483615  0.00019259
           4   0.0511468   0.0490578 0.000620103
           5   0.0492572   0.0490977 0.000497363
           6   0.0483053   0.0489656 0.000431644
           7   0.0502409   0.0491478 0.000406613
           8   0.0479679   0.0490003 0.000381597
           9   0.0488292   0.0489813  0.00033967
          10   0.0494743   0.0490306  0.00030926
          11   0.0483874   0.0489721 0.000286621
          12   0.0493659   0.0490049 0.000264607
          13   0.0500894   0.0490884 0.000257067
          14   0.0508692   0.0492156 0.000268337
          15   0.0513023   0.0493547 0.000284231
          16   0.0508091   0.0494456 0.000280626
          17   0.0507113     0.04952 0.000273817
          18   0.0527808   0.0497012 0.000312842
          19   0.0508704   0.0497627 0.000302368
          20   0.0501701   0.0497831 0.000287935
          21    0.051613   0.0498702 0.000287106
          22   0.0505782   0.0499024 0.000275854
          23   0.0504217    0.049925 0.000264782
          24   0.0497658   0.0499184 0.000253833
          25   0.0480465   0.0498435 0.000254483
          26   0.0481703   0.0497791 0.000252701
          27   0.0481505   0.0497188 0.000250437
          28   0.0489054   0.0496898 0.000243172
          29   0.0493427   0.0496778 0.000235081
          30   0.0498661   0.0496841 0.000227329
