#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.75026     1.75026           0
           2     1.81061     1.78043   0.0213372
           3     1.80387     1.78824   0.0155897
           4     1.82242     1.79679   0.0138373
           5     1.80825     1.79908   0.0112581
           6     1.79371     1.79819  0.00941738
           7      1.8206     1.80139  0.00859919
           8     1.79722     1.80087  0.00754003
           9     1.81832     1.80281  0.00694728
          10     1.81153     1.80368  0.00630707
          11     1.81068     1.80432  0.00576575
          12     1.81172     1.80493  0.00531818
          13     1.80342     1.80482  0.00491035
          14     1.80892     1.80511  0.00456836
          15     1.85048     1.80813  0.00516914
          16     1.81615     1.80864  0.00487026
          17     1.84447     1.81074  0.00501925
          18     1.83802     1.81226  0.00496385
          19     1.81945     1.81264  0.00471701
          20     1.80485     1.81225  0.00449719
          21     1.77864     1.81065   0.0045589
          22     1.82177     1.81115  0.00437959
          23     1.76959     1.80935  0.00454669
          24     1.77354     1.80785  0.00459556
          25     1.77078     1.80637  0.00464488
          26     1.79667       1.806  0.00448118
          27      1.7879     1.80533  0.00436508
          28     1.78143     1.80447  0.00429182
          29     1.76745      1.8032  0.00432954
          30     1.78483     1.80259  0.00422828
          31     1.75087     1.80092  0.00440874
          32     1.74236     1.79909  0.00463524
          33     1.80183     1.79917  0.00449553
          34     1.79895     1.79916  0.00436331
          35     1.85845     1.80086  0.00455564
          36      1.8233     1.80148  0.00447155
          37     1.79768     1.80138  0.00435188
          38     1.77884     1.80079  0.00427757
          39     1.76525     1.79987  0.00426385
          40     1.77229     1.79918  0.00421266
          41     1.77914      1.7987   0.0041382
          42     1.78327     1.79833  0.00405594
          43     1.77972      1.7979  0.00398464
          44     1.75744     1.79698  0.00399874
          45     1.77504     1.79649  0.00393947
          46     1.84994     1.79765  0.00402157
          47     1.81508     1.79802  0.00395307
          48     1.79272     1.79791  0.00387226
          49     1.77127     1.79737  0.00383122
          50     1.81496     1.79772  0.00377072
