#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.353965   -0.353965           0
           2   -0.414363   -0.384164   0.0213537
           3   -0.407579   -0.391969   0.0155971
           4   -0.426223   -0.400533   0.0138507
           5   -0.412022   -0.402831   0.0112695
           6   -0.397568   -0.401953  0.00942535
           7   -0.424437   -0.405165  0.00860875
           8   -0.400851   -0.404626  0.00754953
           9   -0.422037   -0.406561  0.00695413
          10   -0.415391   -0.407444  0.00631454
          11   -0.414443    -0.40808  0.00577246
          12    -0.41553   -0.408701  0.00532471
          13   -0.407206   -0.408586  0.00491636
          14   -0.412668   -0.408877  0.00457383
          15   -0.454261   -0.411903  0.00517372
          16   -0.419863   -0.412401  0.00487423
          17   -0.448263    -0.41451  0.00502332
          18   -0.441878   -0.416031  0.00496902
          19   -0.423144   -0.416405  0.00472158
          20    -0.40859   -0.416014  0.00450164
          21   -0.382406   -0.414414   0.0045629
          22   -0.425527   -0.414919  0.00438337
          23   -0.373316    -0.41311  0.00455072
          24   -0.377207   -0.411614  0.00460043
          25   -0.374469   -0.410128  0.00465016
          26   -0.400305   -0.409751  0.00448663
          27   -0.391602   -0.409078  0.00437051
          28    -0.38508   -0.408221  0.00429764
          29   -0.371148   -0.406943  0.00433542
          30   -0.388614   -0.406332  0.00423373
          31   -0.354537   -0.404661  0.00441455
          32   -0.345981   -0.402827  0.00464186
          33   -0.405462   -0.402907  0.00450189
          34   -0.402743   -0.402902  0.00436948
          35   -0.462312     -0.4046  0.00456244
          36   -0.427135   -0.405226  0.00447844
          37   -0.401437   -0.405123  0.00435857
          38   -0.382572    -0.40453  0.00428409
          39   -0.368888   -0.403616   0.0042706
          40   -0.376035   -0.402926  0.00421914
          41   -0.382864   -0.402437  0.00414451
          42   -0.386998    -0.40207   0.0040621
          43   -0.383391   -0.401635  0.00399079
          44   -0.361129   -0.400715  0.00400487
          45   -0.378755   -0.400227  0.00394549
          46   -0.453704   -0.401389  0.00402735
          47    -0.41886   -0.401761  0.00395878
          48   -0.396418    -0.40165  0.00387787
          49   -0.374929   -0.401104  0.00383688
          50   -0.418696   -0.401456  0.00377624
