#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0504184   0.0504184           0
           2   0.0491564   0.0497874 0.000446175
           3   0.0475984   0.0490577 0.000665914
           4   0.0491181   0.0490728 0.000499606
           5   0.0488016   0.0490186 0.000402619
           6   0.0500047   0.0491829 0.000367536
           7    0.049145   0.0491775 0.000315071
           8   0.0496028   0.0492307 0.000280135
           9   0.0500091   0.0493172  0.00026202
          10   0.0489281   0.0492783 0.000238688
          11   0.0487892   0.0492338 0.000221092
          12   0.0470736   0.0490538 0.000266043
          13   0.0495965   0.0490955 0.000248832
          14   0.0498262   0.0491477 0.000236469
          15   0.0498573    0.049195 0.000225386
          16    0.047521   0.0490904 0.000234327
          17   0.0491971   0.0490967 0.000220627
          18   0.0478064    0.049025 0.000219707
          19   0.0492267   0.0490356   0.0002084
          20   0.0486018   0.0490139 0.000199106
          21   0.0487811   0.0490028 0.000189933
          22   0.0488744    0.048997 0.000181389
          23    0.049034   0.0489986  0.00017351
          24   0.0514107   0.0490991 0.000193208
          25   0.0508718     0.04917 0.000198065
          26   0.0505455   0.0492229 0.000197386
          27   0.0508965   0.0492849 0.000199571
          28   0.0518434   0.0493763 0.000212334
          29   0.0501749   0.0494038  0.00020679
          30   0.0500707    0.049426 0.000201088
          31   0.0513548   0.0494883    0.000204
          32   0.0507384   0.0495273 0.000201331
          33   0.0494024   0.0495235 0.000195266
          34    0.049307   0.0495172 0.000189626
          35   0.0474535   0.0494582 0.000193158
          36   0.0473436   0.0493995 0.000196521
          37   0.0485248   0.0493758 0.000192626
          38   0.0490791    0.049368 0.000187715
          39   0.0483959   0.0493431 0.000184549
          40    0.049361   0.0493435 0.000179936
          41   0.0485788   0.0493249 0.000176512
          42   0.0503428   0.0493491 0.000173965
          43   0.0513641    0.049396 0.000176117
          44    0.051596    0.049446 0.000179071
          45   0.0499412    0.049457  0.00017543
          46   0.0475915   0.0494164 0.000176241
          47   0.0509497   0.0494491 0.000175485
          48   0.0505711   0.0494724 0.000173379
          49   0.0499752   0.0494827 0.000170144
          50    0.047527   0.0494436 0.000171178
