#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.16684     1.16684           0
           2     1.20707     1.18695   0.0142248
           3     1.20258     1.19216   0.0103931
           4     1.21495     1.19786  0.00922489
           5      1.2055     1.19939  0.00750543
           6      1.1958     1.19879  0.00627825
           7     1.21373     1.20093  0.00573279
           8     1.19815     1.20058  0.00502669
           9     1.21222     1.20187  0.00463152
          10     1.20769     1.20245  0.00420471
          11     1.20712     1.20288  0.00384384
          12     1.20781     1.20329  0.00354545
          13     1.20228     1.20321  0.00327357
          14     1.20595     1.20341  0.00304557
          15     1.23366     1.20542  0.00344609
          16     1.21076     1.20576  0.00324684
          17     1.22965     1.20716  0.00334617
          18     1.22535     1.20817  0.00330924
          19     1.21297     1.20842  0.00314467
          20     1.20323     1.20817  0.00299813
          21     1.18576      1.2071  0.00303927
          22     1.21451     1.20744  0.00291973
          23     1.17973     1.20623  0.00303113
          24     1.18236     1.20524   0.0030637
          25     1.18052     1.20425  0.00309658
          26     1.19778       1.204  0.00298746
          27     1.19193     1.20355  0.00291005
          28     1.18762     1.20298  0.00286121
          29      1.1783     1.20213  0.00288636
          30     1.18989     1.20172  0.00281885
          31     1.16724     1.20061  0.00293916
          32     1.16157     1.19939  0.00309016
          33     1.20122     1.19945  0.00299702
          34      1.1993     1.19944  0.00290887
          35     1.23897     1.20057   0.0030371
          36     1.21553     1.20099  0.00298104
          37     1.19845     1.20092  0.00290125
          38      1.1859     1.20052  0.00285171
          39     1.17683     1.19992  0.00284257
          40     1.18152     1.19946  0.00280844
          41     1.18609     1.19913   0.0027588
          42     1.18884     1.19889  0.00270396
          43     1.18648      1.1986  0.00265643
          44     1.17163     1.19798  0.00266583
          45     1.18336     1.19766  0.00262631
          46      1.2333     1.19843  0.00268105
          47     1.21005     1.19868  0.00263538
          48     1.19515     1.19861  0.00258151
          49     1.18084     1.19824  0.00255415
          50     1.20998     1.19848  0.00251382
