#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1       0.955       0.955           0
           2       0.955       0.955 7.45058e-09
           3       0.955       0.955 1.72064e-08
           4       0.955       0.955 2.73752e-08
           5       0.955       0.955 3.97054e-08
           6       0.955       0.955 5.50873e-08
           7    0.955001       0.955 7.15743e-08
           8    0.955001       0.955 8.95621e-08
           9    0.955001       0.955 1.08766e-07
          10    0.955001       0.955 1.29005e-07
          11    0.955002    0.955001 1.50494e-07
          12    0.955002    0.955001 1.72895e-07
          13    0.955002    0.955001 1.96342e-07
          14    0.955003    0.955001 2.20751e-07
          15    0.955003    0.955001 2.46042e-07
          16    0.955003    0.955001 2.72265e-07
          17    0.955004    0.955001 2.99313e-07
          18    0.955004    0.955002 3.27214e-07
          19    0.955005    0.955002 3.55933e-07
          20    0.955005    0.955002 3.85405e-07
          21    0.955006    0.955002 4.15665e-07
          22    0.955007    0.955002 4.46668e-07
          23    0.955007    0.955003 4.78409e-07
          24    0.955008    0.955003 5.10854e-07
          25    0.955009    0.955003 5.43996e-07
          26    0.955009    0.955003 5.77822e-07
          27     0.95501    0.955003 6.12322e-07
          28    0.955011    0.955004 6.47478e-07
          29    0.955012    0.955004 6.83275e-07
          30    0.955013    0.955004 7.19697e-07
          31    0.955014    0.955005 7.56753e-07
          32    0.955015    0.955005 7.94418e-07
          33    0.955016    0.955005 8.32679e-07
          34    0.955017    0.955006 8.71536e-07
          35    0.955018    0.955006 9.10973e-07
          36    0.955019    0.955006 9.50988e-07
          37     0.95502    0.955007 9.91565e-07
          38    0.955021    0.955007  1.0327e-06
          39    0.955022    0.955007 1.07439e-06
          40    0.955023    0.955008 1.11662e-06
          41    0.955024    0.955008 1.15939e-06
          42    0.955025    0.955009 1.20269e-06
          43    0.955027    0.955009 1.24651e-06
          44    0.955028    0.955009 1.29085e-06
          45    0.955029     0.95501 1.33571e-06
          46    0.955031     0.95501 1.38106e-06
          47    0.955032    0.955011 1.42692e-06
          48    0.955033    0.955011 1.47327e-06
          49    0.955035    0.955012 1.52011e-06
          50    0.955036    0.955012 1.56744e-06
          51    0.955038    0.955013 1.61524e-06
          52    0.955039    0.955013 1.66352e-06
          53    0.955041    0.955014 1.71228e-06
          54    0.955043    0.955014 1.76149e-06
          55    0.955044    0.955015 1.81117e-06
          56    0.955046    0.955015 1.86131e-06
          57    0.955048    0.955016  1.9119e-06
          58    0.955049    0.955017 1.96294e-06
          59    0.955051    0.955017 2.01443e-06
          60    0.955053    0.955018 2.06636e-06
          61    0.955055    0.955018 2.11872e-06
          62    0.955056    0.955019 2.17153e-06
          63    0.955058     0.95502 2.22476e-06
          64     0.95506     0.95502 2.27842e-06
          65    0.955062    0.955021 2.33251e-06
          66    0.955064    0.955022 2.38702e-06
          67    0.955066    0.955022 2.44194e-06
          68    0.955068    0.955023 2.49729e-06
          69     0.95507    0.955024 2.55304e-06
          70    0.955072    0.955024 2.60921e-06
          71    0.955074    0.955025 2.66578e-06
          72    0.955076    0.955026 2.72276e-06
