#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.39629     1.39629           0
           2     1.39624     1.39627 1.65329e-05
           3     1.39629     1.39628 1.27693e-05
           4      1.3962     1.39626 1.87429e-05
           5     1.39623     1.39625 1.58035e-05
           6     1.39614     1.39623 2.17449e-05
           7     1.39616     1.39622 2.07536e-05
           8     1.39637     1.39624 2.51531e-05
           9     1.39629     1.39625 2.28921e-05
          10     1.39614     1.39624 2.30381e-05
          11     1.39624     1.39624 2.09482e-05
          12     1.39619     1.39623 1.95742e-05
          13     1.39622     1.39623 1.81007e-05
          14     1.39625     1.39623  1.6879e-05
          15     1.39622     1.39623 1.57679e-05
          16     1.39628     1.39624 1.51101e-05
          17     1.39621     1.39623 1.43103e-05
          18     1.39614     1.39623 1.44357e-05
          19     1.39631     1.39623 1.42575e-05
          20     1.39626     1.39623 1.36176e-05
          21     1.39624     1.39623 1.29693e-05
          22     1.39624     1.39623 1.23816e-05
          23     1.39628     1.39624 1.19827e-05
          24     1.39633     1.39624 1.20967e-05
          25     1.39631     1.39624 1.19192e-05
          26     1.39637     1.39625 1.23703e-05
          27     1.39629     1.39625 1.20297e-05
          28     1.39635     1.39625 1.21135e-05
          29      1.3963     1.39625 1.18195e-05
          30     1.39622     1.39625 1.14861e-05
          31     1.39633     1.39626 1.13807e-05
          32     1.39638     1.39626 1.16252e-05
          33     1.39637     1.39626 1.17333e-05
          34     1.39621     1.39626 1.14885e-05
          35     1.39614     1.39626 1.16447e-05
          36     1.39617     1.39626  1.1597e-05
          37     1.39624     1.39625 1.12876e-05
          38     1.39627     1.39626 1.10002e-05
          39     1.39636     1.39626 1.10262e-05
          40     1.39625     1.39626 1.07518e-05
          41     1.39627     1.39626 1.04962e-05
          42     1.39627     1.39626 1.02493e-05
          43     1.39633     1.39626 1.01334e-05
          44     1.39631     1.39626 9.97487e-06
          45     1.39629     1.39626 9.77025e-06
          46     1.39624     1.39626 9.56982e-06
          47     1.39622     1.39626 9.40284e-06
          48      1.3963     1.39626 9.24377e-06
          49     1.39634     1.39626 9.18581e-06
          50     1.39627     1.39626  9.0025e-06
