#   N_BLOCK:  ACCEPTANCE:
           1    0.622833
           2     0.62106
           3    0.620275
           4     0.61972
           5    0.618583
           6    0.618975
           7    0.618647
           8    0.618574
           9    0.618877
          10     0.61898
          11     0.61906
          12    0.619058
          13    0.619009
          14    0.618933
          15     0.61893
          16     0.61908
          17    0.619098
          18     0.61879
          19    0.618907
          20    0.618837
          21    0.618802
          22    0.618775
          23    0.618926
          24    0.618986
          25    0.618988
          26    0.618984
          27    0.618915
          28    0.619003
          29    0.619131
          30    0.618971
          31    0.618855
          32    0.618964
          33    0.619054
          34    0.619004
          35    0.618981
          36    0.619004
          37    0.618972
          38    0.619075
          39    0.619031
          40    0.619042
          41    0.619045
          42    0.618941
          43    0.618967
          44    0.618983
          45     0.61893
          46    0.619029
          47    0.618978
          48     0.61892
          49    0.618963
          50    0.618939
