#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1         1.8         1.8           0
           2         1.8         1.8           0
           3         1.8         1.8           0
           4         1.8         1.8           0
           5         1.8         1.8 9.42432e-09
           6         1.8         1.8           0
           7         1.8         1.8 1.12642e-08
           8         1.8         1.8 1.05367e-08
           9         1.8         1.8           0
          10         1.8         1.8   6.664e-09
          11         1.8         1.8 6.35388e-09
          12         1.8         1.8           0
          13         1.8         1.8           0
          14         1.8         1.8 7.96501e-09
          15         1.8         1.8 5.44113e-09
          16         1.8         1.8 5.26836e-09
          17         1.8         1.8 5.11106e-09
          18         1.8         1.8 4.96705e-09
          19         1.8         1.8           0
          20         1.8         1.8           0
          21         1.8         1.8  4.5986e-09
          22         1.8         1.8 4.49287e-09
          23         1.8         1.8 6.21421e-09
          24         1.8         1.8 6.08337e-09
          25         1.8         1.8 7.30005e-09
          26         1.8         1.8 8.26568e-09
          27         1.8         1.8 9.06856e-09
          28         1.8         1.8 8.90515e-09
          29         1.8         1.8 8.75026e-09
          30         1.8         1.8 8.60319e-09
          31         1.8         1.8 9.27107e-09
          32         1.8         1.8 9.12506e-09
          33         1.8         1.8 8.98574e-09
          34         1.8         1.8 8.85261e-09
          35         1.8         1.8 9.42432e-09
          36         1.8         1.8 9.29251e-09
          37         1.8         1.8 9.16607e-09
          38         1.8         1.8 9.04466e-09
          39         1.8         1.8 8.92795e-09
          40         1.8         1.8 9.42432e-09
          41         1.8         1.8 9.30868e-09
          42         1.8         1.8  9.1972e-09
          43         1.8         1.8 1.01625e-08
          44         1.8         1.8 1.00464e-08
          45         1.8         1.8 9.93411e-09
          46         1.8         1.8 9.82553e-09
          47         1.8         1.8 1.01949e-08
          48         1.8         1.8 1.00881e-08
          49         1.8         1.8 9.98466e-09
          50         1.8         1.8 9.88431e-09
