#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.410346   -0.410346           0
           2    -0.41381   -0.412078  0.00122464
           3   -0.413592   -0.412583 0.000914603
           4   -0.418626   -0.414093  0.00147731
           5   -0.421444   -0.415563  0.00176796
           6   -0.409646   -0.414577  0.00172663
           7   -0.421913   -0.415625  0.00176963
           8   -0.408201   -0.414697  0.00177514
           9   -0.410859   -0.414271  0.00162832
          10   -0.414864    -0.41433  0.00146657
          11   -0.416756   -0.414551  0.00134973
          12   -0.412209   -0.414355  0.00125128
          13   -0.414641   -0.414377  0.00115522
          14   -0.416569   -0.414534  0.00108326
          15   -0.413377   -0.414457  0.00101379
          16    -0.40662   -0.413967  0.00106219
          17   -0.411215   -0.413805  0.00101197
          18   -0.420985   -0.414204  0.00103138
          19   -0.414872   -0.414239 0.000977693
          20    -0.41701   -0.414378 0.000938575
          21   -0.415894    -0.41445 0.000896655
          22   -0.417181   -0.414574 0.000864447
          23   -0.409769   -0.414365  0.00085173
          24   -0.412492   -0.414287 0.000819809
          25   -0.414115    -0.41428 0.000787046
          26   -0.415925   -0.414343 0.000759313
          27   -0.417539   -0.414462 0.000740358
          28   -0.415715   -0.414507 0.000715269
          29    -0.40849   -0.414299 0.000720066
          30   -0.417222   -0.414397 0.000702627
          31   -0.417317   -0.414491  0.00068625
          32   -0.410214   -0.414357 0.000677695
          33   -0.406995   -0.414134 0.000692904
          34   -0.417653   -0.414238 0.000680212
          35   -0.411922   -0.414171 0.000663986
          36   -0.414562   -0.414182 0.000645631
          37   -0.417129   -0.414262 0.000633073
          38   -0.406576    -0.41406  0.00064792
          39   -0.413304    -0.41404 0.000631596
          40   -0.412046    -0.41399 0.000617771
          41   -0.417734   -0.414082 0.000609415
          42   -0.420096   -0.414225   0.0006115
          43   -0.410016   -0.414127 0.000605062
          44    -0.41171   -0.414072 0.000593798
          45   -0.414426    -0.41408 0.000580655
          46   -0.409786   -0.413987 0.000575485
          47   -0.419489   -0.414104 0.000575026
          48   -0.418513   -0.414196 0.000570336
          49   -0.411316   -0.414137 0.000561717
          50   -0.416745   -0.414189 0.000552899
