#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0493053   0.0493053           0
           2   0.0490432   0.0491743 9.26388e-05
           3   0.0485717   0.0489734 0.000175226
           4   0.0488367   0.0489392  0.00013471
           5   0.0489308   0.0489376 0.000107779
           6   0.0487738   0.0489103 9.32058e-05
           7   0.0490263   0.0489268 8.13521e-05
           8   0.0490299   0.0489397 7.21958e-05
           9   0.0493363   0.0489838 7.64468e-05
          10   0.0491137   0.0489968 6.98969e-05
          11   0.0488272   0.0489814 6.52208e-05
          12   0.0487645   0.0489633 6.22382e-05
          13   0.0490266   0.0489682 5.76406e-05
          14   0.0492592    0.048989 5.71504e-05
          15   0.0491792   0.0490016 5.47292e-05
          16   0.0493713   0.0490247 5.59736e-05
          17   0.0496964   0.0490642 6.51479e-05
          18   0.0491018   0.0490663 6.15619e-05
          19   0.0489509   0.0490603 5.86206e-05
          20   0.0491131   0.0490629  5.5749e-05
          21   0.0483463   0.0490288 6.26749e-05
          22   0.0490475   0.0490296 5.98318e-05
          23   0.0493311   0.0490427 5.86489e-05
          24   0.0489564   0.0490391 5.63154e-05
          25   0.0491326   0.0490429 5.41867e-05
          26   0.0491963   0.0490488  5.2423e-05
          27   0.0491039   0.0490508 5.05211e-05
          28   0.0486674   0.0490371 5.05387e-05
          29   0.0494064   0.0490499 5.03742e-05
          30   0.0491764   0.0490541 4.88715e-05
          31   0.0491625   0.0490576   4.742e-05
          32    0.049032   0.0490568 4.59449e-05
          33    0.049364   0.0490661 4.54858e-05
          34   0.0488298   0.0490591 4.46759e-05
          35   0.0489403   0.0490557 4.35282e-05
          36   0.0491426   0.0490582 4.23859e-05
          37   0.0490445   0.0490578  4.1242e-05
          38   0.0492841   0.0490637 4.05845e-05
          39   0.0484056   0.0490469 4.29087e-05
          40   0.0490079   0.0490459  4.1847e-05
          41   0.0488744   0.0490417 4.10349e-05
          42   0.0487706   0.0490353 4.05622e-05
          43   0.0482239   0.0490164 4.37881e-05
          44   0.0496987   0.0490319 4.54561e-05
          45   0.0488733   0.0490284 4.45824e-05
          46   0.0485945   0.0490189 4.45997e-05
          47   0.0493135   0.0490252 4.40888e-05
          48   0.0489469   0.0490236 4.32005e-05
          49   0.0490978   0.0490251 4.23454e-05
          50   0.0491011   0.0490266 4.15257e-05
