#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.2         1.2           0
           2         1.2         1.2           0
           3         1.2         1.2           0
           4         1.2         1.2           0
           5         1.2         1.2           0
           6         1.2         1.2           0
           7         1.2         1.2           0
           8         1.2         1.2           0
           9         1.2         1.2           0
          10         1.2         1.2           0
          11         1.2         1.2           0
          12         1.2         1.2           0
          13         1.2         1.2           0
          14         1.2         1.2           0
          15         1.2         1.2 5.44113e-09
          16         1.2         1.2 5.26836e-09
          17         1.2         1.2 5.11106e-09
          18         1.2         1.2 7.02447e-09
          19         1.2         1.2 6.83712e-09
          20         1.2         1.2   6.664e-09
          21         1.2         1.2  6.5034e-09
          22         1.2         1.2 8.40539e-09
          23         1.2         1.2 8.22063e-09
          24         1.2         1.2 8.04755e-09
          25         1.2         1.2 7.88495e-09
          26         1.2         1.2 7.73183e-09
          27         1.2         1.2  7.5873e-09
          28         1.2         1.2 8.44816e-09
          29         1.2         1.2 8.30123e-09
          30         1.2         1.2  8.1617e-09
          31         1.2         1.2 8.02898e-09
          32         1.2         1.2 7.90253e-09
          33         1.2         1.2 7.78188e-09
          34         1.2         1.2 7.66658e-09
          35         1.2         1.2 7.55627e-09
          36         1.2         1.2 7.45058e-09
          37         1.2         1.2 7.34921e-09
          38         1.2         1.2 7.25186e-09
          39         1.2         1.2 8.26568e-09
          40         1.2         1.2  8.1617e-09
          41         1.2         1.2 8.06155e-09
          42         1.2         1.2 7.96501e-09
          43         1.2         1.2 7.87184e-09
          44         1.2         1.2 7.78188e-09
          45         1.2         1.2 7.69493e-09
          46         1.2         1.2 7.61083e-09
          47         1.2         1.2 7.52942e-09
          48         1.2         1.2 7.45058e-09
          49         1.2         1.2 7.37416e-09
          50         1.2         1.2 7.30005e-09
