#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.38965     1.38965           0
           2     1.38619     1.38792  0.00122464
           3     1.38641     1.38742 0.000914603
           4     1.38137     1.38591  0.00147731
           5     1.37856     1.38444  0.00176796
           6     1.39035     1.38542  0.00172663
           7     1.37809     1.38437  0.00176963
           8      1.3918      1.3853  0.00177514
           9     1.38914     1.38573  0.00162832
          10     1.38514     1.38567  0.00146657
          11     1.38324     1.38545  0.00134973
          12     1.38779     1.38564  0.00125128
          13     1.38536     1.38562  0.00115522
          14     1.38343     1.38547  0.00108326
          15     1.38662     1.38554  0.00101379
          16     1.39338     1.38603  0.00106219
          17     1.38879     1.38619  0.00101197
          18     1.37901      1.3858  0.00103138
          19     1.38513     1.38576 0.000977693
          20     1.38299     1.38562 0.000938575
          21     1.38411     1.38555 0.000896655
          22     1.38282     1.38543 0.000864447
          23     1.39023     1.38563  0.00085173
          24     1.38751     1.38571 0.000819809
          25     1.38588     1.38572 0.000787046
          26     1.38407     1.38566 0.000759313
          27     1.38246     1.38554 0.000740358
          28     1.38428     1.38549 0.000715269
          29     1.39151      1.3857 0.000720066
          30     1.38278      1.3856 0.000702627
          31     1.38268     1.38551  0.00068625
          32     1.38979     1.38564 0.000677695
          33       1.393     1.38587 0.000692904
          34     1.38235     1.38576 0.000680212
          35     1.38808     1.38583 0.000663986
          36     1.38544     1.38582 0.000645631
          37     1.38287     1.38574 0.000633073
          38     1.39342     1.38594  0.00064792
          39      1.3867     1.38596 0.000631596
          40     1.38795     1.38601 0.000617771
          41     1.38227     1.38592 0.000609415
          42      1.3799     1.38578   0.0006115
          43     1.38998     1.38587 0.000605062
          44     1.38829     1.38593 0.000593798
          45     1.38557     1.38592 0.000580655
          46     1.39021     1.38601 0.000575485
          47     1.38051      1.3859 0.000575026
          48     1.38149      1.3858 0.000570336
          49     1.38868     1.38586 0.000561717
          50     1.38326     1.38581 0.000552899
