#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.68305     1.68305           0
           2     1.65833     1.67069   0.0087422
           3     1.63701     1.65947   0.0108616
           4     1.65408     1.65812  0.00822921
           5     1.70847     1.66819   0.0111558
           6     1.60335     1.65738   0.0135549
           7      1.6489     1.65617   0.0116726
           8     1.69542     1.66108    0.011197
           9      1.6888     1.66416   0.0103679
          10     1.69612     1.66735  0.00981147
          11     1.69091     1.66949  0.00915033
          12     1.58997     1.66287   0.0105173
          13     1.61322     1.65905   0.0103784
          14     1.64555     1.65808  0.00968173
          15     1.63154     1.65632  0.00919655
          16     1.63881     1.65522  0.00868662
          17     1.64153     1.65442  0.00821288
          18     1.64994     1.65417  0.00776038
          19     1.66464     1.65472   0.0073715
          20     1.62248     1.65311  0.00717696
          21     1.65464     1.65318  0.00683557
          22     1.63909     1.65254   0.0065548
          23     1.63744     1.65188  0.00630259
          24     1.69935     1.65386  0.00634271
          25     1.62818     1.65283  0.00617162
          26     1.64154      1.6524  0.00594951
          27     1.59905     1.65042  0.00604834
          28     1.68464     1.65165  0.00595452
          29     1.65842     1.65188  0.00575378
          30     1.66829     1.65243  0.00558793
          31     1.63888     1.65199  0.00542474
          32     1.62372     1.65111  0.00532668
          33      1.6505     1.65109   0.0051653
          34     1.66836      1.6516  0.00503829
          35     1.68125     1.65244  0.00496507
          36     1.63303      1.6519  0.00485634
          37     1.66778     1.65233  0.00474401
          38     1.62386     1.65158  0.00467795
          39     1.63834     1.65124  0.00457032
          40     1.69579     1.65236  0.00458975
          41     1.66344     1.65263  0.00448577
          42     1.66838       1.653  0.00439461
          43     1.67794     1.65358  0.00433052
          44     1.63973     1.65327  0.00424353
          45     1.67265      1.6537  0.00417103
          46     1.63772     1.65335  0.00409479
          47     1.64548     1.65318  0.00401109
          48     1.63431     1.65279  0.00394675
          49     1.65087     1.65275   0.0038664
          50     1.67442     1.65318  0.00381328
