#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.48864    -5.48864           0
           2    -5.46333    -5.47598  0.00895099
           3    -5.43902    -5.46366   0.0116976
           4    -5.45935    -5.46259   0.0088227
           5    -5.51463    -5.47299   0.0116833
           6     -5.4059    -5.46181   0.0141063
           7    -5.45238    -5.46046   0.0121554
           8    -5.49909    -5.46529   0.0115551
           9    -5.49309    -5.46838   0.0106761
          10    -5.50103    -5.47165   0.0100953
          11    -5.49517    -5.47378  0.00940133
          12    -5.39167    -5.46694   0.0108255
          13    -5.41533    -5.46297   0.0106961
          14    -5.44937      -5.462  0.00997609
          15    -5.43486    -5.46019  0.00947366
          16    -5.44107      -5.459  0.00895658
          17    -5.44525    -5.45819  0.00846612
          18    -5.45303     -5.4579  0.00800064
          19    -5.46795    -5.45843  0.00759701
          20    -5.42756    -5.45689  0.00737232
          21    -5.45745    -5.45691   0.0070213
          22    -5.43907     -5.4561  0.00674881
          23    -5.43835    -5.45533  0.00649939
          24    -5.50589    -5.45744  0.00656112
          25    -5.43374    -5.45649  0.00636679
          26     -5.4445    -5.45603  0.00613859
          27    -5.40111    -5.45399  0.00623912
          28    -5.49035    -5.45529  0.00614991
          29    -5.46245    -5.45554  0.00594279
          30    -5.47238     -5.4561  0.00577116
          31      -5.445    -5.45574  0.00559608
          32    -5.42822    -5.45488  0.00548688
          33    -5.45437    -5.45487  0.00532063
          34    -5.47173    -5.45536   0.0051872
          35    -5.48165    -5.45611  0.00509306
          36    -5.43692    -5.45558  0.00497941
          37    -5.47103      -5.456   0.0048623
          38    -5.42904    -5.45529  0.00478581
          39    -5.44165    -5.45494  0.00467586
          40    -5.49714    -5.45599  0.00467648
          41    -5.46483    -5.45621  0.00456738
          42    -5.47424    -5.45664  0.00447877
          43    -5.48298    -5.45725  0.00441631
          44    -5.44546    -5.45698  0.00432406
          45    -5.47623    -5.45741  0.00424907
          46    -5.44167    -5.45707  0.00417046
          47     -5.4477    -5.45687  0.00408649
          48    -5.43706    -5.45646  0.00402213
          49    -5.45672    -5.45646  0.00394005
          50     -5.4795    -5.45692   0.0038881
