#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.24816     1.24816           0
           2     1.24396     1.24606  0.00148239
           3     1.46527     1.31913     0.05967
           4     1.45652     1.35348   0.0537363
           5     1.05029     1.29284   0.0692073
           6     1.72981     1.36567   0.0880125
           7     1.54283     1.39098   0.0789945
           8     1.21603     1.36911   0.0720836
           9     1.14329     1.34402   0.0683019
          10     1.26928     1.33654   0.0618793
          11     1.27155     1.33064   0.0565353
          12     1.75834     1.36628   0.0620502
          13     1.57805     1.38257   0.0593769
          14     1.51871     1.39229   0.0559263
          15     1.48699      1.3986    0.052553
          16     1.55734     1.40853   0.0501961
          17     1.52934     1.41563   0.0477439
          18     1.58538     1.42506   0.0460134
          19     1.36342     1.42182   0.0437058
          20     1.53496     1.42748    0.041885
          21     1.39546     1.42595   0.0399182
          22     1.72175      1.4394   0.0403045
          23     1.52857     1.44327   0.0387382
          24     1.24049     1.43482   0.0380344
          25     1.54109     1.43908   0.0367498
          26     1.52688     1.44245   0.0354911
          27     1.73989     1.45347   0.0358455
          28     1.31928     1.44868   0.0348842
          29     1.47644     1.44963   0.0336945
          30     1.36994     1.44698   0.0326759
          31     1.56528     1.45079   0.0318439
          32      1.5769     1.45473   0.0310917
          33     1.43599     1.45417   0.0301547
          34     1.33854     1.45077   0.0294589
          35     1.38118     1.44878   0.0286842
          36     1.51041     1.45049   0.0279385
          37     1.37646     1.44849    0.027255
          38     1.53298     1.45071   0.0266283
          39      1.4893      1.4517   0.0259639
          40     1.20694     1.44558   0.0260258
          41     1.50122     1.44694   0.0254264
          42     1.36578     1.44501   0.0248943
          43     1.26659     1.44086   0.0246587
          44      1.3786     1.43944   0.0241389
          45     1.35014     1.43746   0.0236839
          46      1.4989     1.43879   0.0232067
          47     1.50386     1.44018   0.0227541
          48     1.54276     1.44232   0.0223802
          49     1.46952     1.44287   0.0219304
          50      1.2245      1.4385   0.0219224
