#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.12204     1.12204           0
           2     1.10555     1.11379  0.00582813
           3     1.09134     1.10631  0.00724108
           4     1.10272     1.10541  0.00548614
           5     1.13898     1.11213   0.0074372
           6      1.0689     1.10492  0.00903659
           7     1.09926     1.10411   0.0077817
           8     1.13028     1.10738  0.00746469
           9     1.12586     1.10944  0.00691194
          10     1.13075     1.11157  0.00654098
          11     1.12728       1.113  0.00610022
          12     1.05998     1.10858   0.0070115
          13     1.07548     1.10603  0.00691891
          14     1.09703     1.10539  0.00645449
          15      1.0877     1.10421  0.00613103
          16     1.09254     1.10348  0.00579108
          17     1.09435     1.10294  0.00547525
          18     1.09996     1.10278  0.00517358
          19     1.10976     1.10315  0.00491433
          20     1.08166     1.10207  0.00478464
          21     1.10309     1.10212  0.00455705
          22     1.09273     1.10169  0.00436987
          23     1.09163     1.10126  0.00420172
          24      1.1329     1.10257  0.00422847
          25     1.08545     1.10189  0.00411442
          26     1.09436      1.1016  0.00396634
          27     1.06604     1.10028  0.00403223
          28      1.1231      1.1011  0.00396968
          29     1.10562     1.10125  0.00383585
          30     1.11219     1.10162  0.00372529
          31     1.09259     1.10133  0.00361649
          32     1.08248     1.10074  0.00355112
          33     1.10033     1.10072  0.00344353
          34     1.11224     1.10106  0.00335886
          35     1.12083     1.10163  0.00331004
          36     1.08869     1.10127  0.00323756
          37     1.11186     1.10155  0.00316268
          38     1.08258     1.10106  0.00311863
          39     1.09222     1.10083  0.00304688
          40     1.13053     1.10157  0.00305984
          41     1.10896     1.10175  0.00299051
          42     1.11225       1.102  0.00292974
          43     1.11863     1.10239  0.00288701
          44     1.09315     1.10218  0.00282902
          45      1.1151     1.10247  0.00278069
          46     1.09181     1.10223  0.00272986
          47     1.09699     1.10212  0.00267406
          48     1.08954     1.10186  0.00263117
          49     1.10058     1.10183   0.0025776
          50     1.11628     1.10212  0.00254219
