#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1       1.982       1.982           0
           2     1.98198     1.98199 6.44471e-06
           3     1.98193     1.98197 1.78756e-05
           4     1.98184     1.98194 3.18607e-05
           5     1.98171     1.98189 4.80116e-05
           6     1.98155     1.98183 6.60769e-05
           7     1.98135     1.98176 8.58812e-05
           8     1.98111     1.98168 0.000107294
           9     1.98084     1.98159 0.000130216
          10     1.98053     1.98148 0.000154567
          11     1.98018     1.98136 0.000180285
          12     1.97979     1.98123 0.000207317
          13     1.97937     1.98109 0.000235622
          14     1.97891     1.98093 0.000265165
          15     1.97841     1.98077  0.00029592
          16     1.97788     1.98059 0.000327862
          17      1.9773     1.98039 0.000360974
          18     1.97669     1.98019 0.000395243
          19     1.97603     1.97997 0.000430657
          20     1.97534     1.97974 0.000467208
          21      1.9746     1.97949 0.000504892
          22     1.97382     1.97923 0.000543707
          23       1.973     1.97896 0.000583652
          24     1.97214     1.97868 0.000624728
          25     1.97123     1.97838 0.000666941
          26     1.97028     1.97807 0.000710293
          27     1.96929     1.97774 0.000754788
          28     1.96825     1.97741 0.000800428
          29     1.96716     1.97705 0.000847226
          30     1.96602     1.97668 0.000895196
          31     1.96484      1.9763  0.00094435
          32     1.96361     1.97591 0.000994704
          33     1.96232     1.97549  0.00104627
          34     1.96099     1.97507  0.00109905
          35      1.9596     1.97463  0.00115306
          36     1.95816     1.97417  0.00120832
          37     1.95667      1.9737  0.00126484
          38     1.95512     1.97321  0.00132265
          39     1.95351      1.9727  0.00138177
          40     1.95185     1.97218   0.0014422
          41     1.95013     1.97164  0.00150398
          42     1.94835     1.97109  0.00156712
          43      1.9465     1.97052  0.00163164
          44      1.9446     1.96993  0.00169757
          45     1.94263     1.96932  0.00176492
          46     1.94059      1.9687  0.00183372
          47     1.93849     1.96805    0.001904
          48     1.93632     1.96739  0.00197576
          49     1.93408     1.96671  0.00204905
          50     1.93177     1.96601  0.00212389
          51     1.92939      1.9653  0.00220031
          52     1.92693     1.96456  0.00227834
          53      1.9244      1.9638    0.002358
          54     1.92178     1.96302  0.00243933
          55     1.91909     1.96222  0.00252237
          56     1.91632      1.9614  0.00260714
          57     1.91346     1.96056  0.00269367
          58     1.91052      1.9597  0.00278199
          59     1.90749     1.95881  0.00287213
          60     1.90437     1.95791  0.00296413
          61     1.90117     1.95698    0.003058
          62     1.89787     1.95602  0.00315378
          63     1.89448     1.95505   0.0032515
          64     1.89099     1.95405   0.0033512
          65      1.8874     1.95302  0.00345291
          66     1.88372     1.95197  0.00355666
          67     1.87993     1.95089  0.00366249
          68     1.87604     1.94979  0.00377042
          69     1.87205     1.94867  0.00388049
          70     1.86794     1.94751  0.00399273
          71     1.86373     1.94633  0.00410718
          72     1.85941     1.94513  0.00422385
          73     1.85497     1.94389  0.00434279
          74     1.85042     1.94263  0.00446403
          75     1.84575     1.94134  0.00458759
          76     1.84097     1.94002  0.00471349
          77     1.83606     1.93867  0.00484176
          78     1.83103     1.93729  0.00497244
          79     1.82588     1.93588  0.00510553
          80     1.82061     1.93444  0.00524108
          81     1.81521     1.93296   0.0053791
          82     1.80968     1.93146  0.00551961
          83     1.80402     1.92992  0.00566264
          84     1.79823     1.92836   0.0058082
          85     1.79231     1.92676  0.00595632
          86     1.78626     1.92512  0.00610701
          87     1.78007     1.92346  0.00626028
          88     1.77374     1.92175  0.00641614
          89     1.76729     1.92002   0.0065746
          90     1.76069     1.91825  0.00673567
          91     1.75396     1.91644  0.00689935
          92     1.74709      1.9146  0.00706565
          93     1.74009     1.91273  0.00723457
          94     1.73294     1.91081   0.0074061
          95     1.72566     1.90886  0.00758023
          96     1.71825     1.90688  0.00775697
          97     1.71069     1.90486  0.00793629
          98     1.70301      1.9028  0.00811819
          99     1.69518      1.9007  0.00830264
         100     1.68722     1.89856  0.00848961
         101     1.67914     1.89639   0.0086791
         102     1.67092     1.89418  0.00887105
         103     1.66257     1.89193  0.00906545
         104     1.65409     1.88965  0.00926225
         105     1.64549     1.88732  0.00946141
         106     1.63677     1.88496  0.00966289
         107     1.62793     1.88255  0.00986663
         108     1.61898     1.88011   0.0100726
         109     1.60991     1.87764   0.0102807
         110     1.60074     1.87512   0.0104909
         111     1.59145     1.87256   0.0107031
         112     1.58207     1.86997   0.0109173
         113     1.57259     1.86734   0.0111333
         114     1.56302     1.86467   0.0113512
         115     1.55336     1.86196   0.0115708
         116     1.54362     1.85922    0.011792
         117     1.53381     1.85644   0.0120147
