#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.80559    -3.80559           0
           2      -3.805    -3.80529  0.00020879
           3      -3.802     -3.8042 0.000906302
           4    -3.80527    -3.80447 0.000718514
           5    -3.80617    -3.80481 0.000650302
           6    -3.80255    -3.80443 0.000641428
           7    -3.80348    -3.80429 0.000563985
           8    -3.80367    -3.80422 0.000498792
           9     -3.8043    -3.80423 0.000443448
          10    -3.80491    -3.80429 0.000404298
          11    -3.80426    -3.80429 0.000367557
          12     -3.8017    -3.80407 0.000395256
          13     -3.8021    -3.80392 0.000392878
          14    -3.80382    -3.80391 0.000364886
          15    -3.80332    -3.80388  0.00034273
          16    -3.80227    -3.80377 0.000335733
          17    -3.80372    -3.80377 0.000315999
          18    -3.80309    -3.80373 0.000300699
          19    -3.80331    -3.80371 0.000285705
          20    -3.80507    -3.80378 0.000279424
          21    -3.80281    -3.80373 0.000269927
          22    -3.79999    -3.80356 0.000306701
          23     -3.8009    -3.80345 0.000314436
          24    -3.80654    -3.80358 0.000326677
          25    -3.80556    -3.80366 0.000323084
          26    -3.80296    -3.80363 0.000311777
          27    -3.80206    -3.80357 0.000305617
          28     -3.8057    -3.80365 0.000304064
          29    -3.80402    -3.80366 0.000293854
          30    -3.80409    -3.80367 0.000284412
          31    -3.80613    -3.80375  0.00028602
          32    -3.80451    -3.80378 0.000278053
          33    -3.80388    -3.80378 0.000269644
          34    -3.80337    -3.80377 0.000261984
          35     -3.8004    -3.80367 0.000271615
          36    -3.80389    -3.80368  0.00026414
          37    -3.80324    -3.80367 0.000257259
          38    -3.80518    -3.80371 0.000253553
          39    -3.80331     -3.8037 0.000247253
          40    -3.80135    -3.80364 0.000247935
          41    -3.80139    -3.80358 0.000247891
          42    -3.80586    -3.80364 0.000247867
          43    -3.80504    -3.80367 0.000244233
          44    -3.80573    -3.80372 0.000243147
          45    -3.80358    -3.80371 0.000237763
          46    -3.80395    -3.80372 0.000232648
          47    -3.80222    -3.80369 0.000229882
          48    -3.80275    -3.80367 0.000225915
          49    -3.80585    -3.80371 0.000225656
          50    -3.80508    -3.80374 0.000222799
