#   N_BLOCK:  ACCEPTANCE:
           1    0.510937
           2    0.511165
           3    0.510802
           4    0.510551
           5    0.510104
           6    0.509977
           7    0.509928
           8    0.509962
           9     0.51016
          10    0.510175
          11    0.510054
          12    0.510129
          13    0.509984
          14    0.510024
          15    0.509979
          16        0.51
          17    0.510066
          18     0.51009
          19      0.5101
          20    0.510094
          21     0.51015
          22    0.510128
          23    0.510153
          24    0.510165
          25    0.510166
          26    0.510165
          27    0.510187
          28    0.510155
          29    0.510081
          30    0.510095
          31    0.510087
          32    0.510084
          33    0.510087
          34     0.51008
          35    0.510081
          36    0.510073
          37    0.510062
          38    0.510063
          39    0.510065
          40    0.510095
          41    0.510097
          42     0.51009
          43    0.510056
          44    0.510025
          45    0.510057
          46     0.51005
          47    0.510044
          48    0.510067
          49    0.510088
          50    0.510089
