#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.46357    -5.46357           0
           2     -5.4696    -5.46659   0.0021317
           3    -5.46519    -5.46612   0.0014713
           4    -5.46509    -5.46586  0.00112583
           5    -5.45335    -5.46336  0.00241273
           6    -5.46406    -5.46348   0.0020134
           7    -5.46504     -5.4637  0.00173815
           8    -5.46173    -5.46345  0.00153825
           9    -5.46887    -5.46406  0.00148025
          10    -5.45723    -5.46337  0.00148123
          11    -5.45737    -5.46283  0.00144373
          12    -5.47041    -5.46346  0.00145518
          13    -5.45387    -5.46272  0.00151858
          14    -5.46592    -5.46295  0.00142724
          15    -5.46206    -5.46289  0.00133333
          16    -5.46036    -5.46273  0.00125936
          17    -5.47137    -5.46324  0.00128377
          18    -5.46127    -5.46313  0.00121711
          19    -5.46692    -5.46333  0.00116929
          20    -5.46133    -5.46323  0.00111509
          21    -5.46496    -5.46331  0.00106502
          22    -5.46256    -5.46328  0.00101716
          23    -5.46519    -5.46336 0.000976325
          24    -5.46569    -5.46346 0.000940457
          25    -5.46027    -5.46333 0.000911464
          26    -5.47205    -5.46367 0.000936123
          27    -5.46113    -5.46357 0.000906143
          28    -5.46011    -5.46345 0.000882196
          29    -5.46077    -5.46336 0.000856587
          30    -5.46686    -5.46347 0.000835952
          31     -5.4655    -5.46354 0.000811544
          32    -5.46346    -5.46354 0.000786187
          33     -5.4722     -5.4638 0.000804975
          34    -5.46475    -5.46383 0.000781782
          35    -5.46329    -5.46381 0.000759598
          36    -5.45764    -5.46364 0.000757604
          37    -5.46622    -5.46371 0.000740322
          38    -5.45766    -5.46355  0.00073778
          39    -5.46494    -5.46359 0.000719722
          40    -5.47173    -5.46379 0.000729947
          41    -5.46353    -5.46378  0.00071217
          42    -5.45841    -5.46366 0.000706607
          43    -5.46032    -5.46358 0.000694414
          44    -5.46972    -5.46372 0.000692516
          45    -5.47395    -5.46394 0.000713479
          46     -5.4649    -5.46397 0.000698269
          47    -5.46841    -5.46406 0.000689775
          48    -5.46896    -5.46416 0.000682929
          49    -5.46244    -5.46413 0.000669891
          50    -5.46692    -5.46418  0.00065881
