#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.38538     1.38538           0
           2     1.36864     1.37701  0.00591911
           3     1.38618     1.38007  0.00466944
           4     1.39143     1.38291  0.00427972
           5     1.44305     1.39494   0.0112912
           6     1.40818     1.39714   0.0096226
           7     1.39935     1.39746  0.00825311
           8     1.40342      1.3982  0.00725502
           9     1.37747      1.3959  0.00680473
          10     1.41612     1.39792  0.00641751
          11     1.44293     1.40201  0.00701824
          12     1.36774     1.39916  0.00699056
          13      1.4602     1.40385   0.0078736
          14     1.39039     1.40289  0.00736965
          15     1.41878     1.40395   0.0069541
          16      1.4236     1.40518  0.00662707
          17     1.36506     1.40282  0.00664422
          18     1.40879     1.40315  0.00628338
          19     1.35873     1.40081  0.00637282
          20     1.41245     1.40139  0.00608067
          21     1.38717     1.40072  0.00582869
          22     1.39839     1.40061  0.00556471
          23     1.38507     1.39994  0.00536363
          24     1.39141     1.39958   0.0051519
          25     1.41024     1.40001  0.00496343
          26     1.36551     1.39868  0.00494664
          27     1.39205     1.39843  0.00476953
          28     1.42517     1.39939  0.00469377
          29     1.42946     1.40043  0.00464506
          30     1.38962     1.40007  0.00450417
          31     1.38951     1.39973  0.00437174
          32      1.4068     1.39995  0.00424071
          33     1.36026     1.39874  0.00427937
          34     1.39344     1.39859  0.00415635
          35      1.4064     1.39881  0.00404359
          36     1.41981     1.39939  0.00397312
          37     1.37938     1.39885  0.00390238
          38     1.41343     1.39924  0.00381848
          39     1.39712     1.39918  0.00372096
          40     1.34058     1.39772  0.00390574
          41     1.40659     1.39793  0.00381647
          42     1.40864     1.39819  0.00373411
          43     1.42464      1.3988  0.00369759
          44     1.37451     1.39825  0.00365454
          45     1.33079     1.39675   0.0038686
          46     1.38477     1.39649  0.00379326
          47     1.38683     1.39629  0.00371812
          48     1.36692     1.39568  0.00369066
          49     1.40111     1.39579    0.003617
          50     1.38049     1.39548  0.00355758
