#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.1         1.1           0
           2         1.1         1.1           0
           3         1.1         1.1           0
           4         1.1         1.1           0
           5         1.1         1.1           0
           6         1.1         1.1 8.60319e-09
           7         1.1         1.1 7.96501e-09
           8         1.1         1.1 7.45058e-09
           9         1.1         1.1 7.02447e-09
          10         1.1         1.1  8.1617e-09
          11         1.1         1.1 7.78188e-09
          12         1.1         1.1 7.45058e-09
          13         1.1         1.1 7.15829e-09
          14         1.1         1.1  6.8979e-09
          15         1.1         1.1 5.44113e-09
          16         1.1         1.1 5.26836e-09
          17         1.1         1.1 5.11106e-09
          18         1.1         1.1 3.51224e-09
          19         1.1         1.1 3.41856e-09
          20         1.1         1.1   3.332e-09
          21         1.1         1.1  3.2517e-09
          22         1.1         1.1 3.17694e-09
          23         1.1         1.1           0
          24         1.1         1.1           0
          25         1.1         1.1           0
          26         1.1         1.1           0
          27         1.1         1.1 2.86773e-09
          28         1.1         1.1           0
          29         1.1         1.1           0
          30         1.1         1.1           0
          31         1.1         1.1  3.7849e-09
          32         1.1         1.1 3.72529e-09
          33         1.1         1.1 3.66841e-09
          34         1.1         1.1 5.11106e-09
          35         1.1         1.1 5.03751e-09
          36         1.1         1.1 6.08337e-09
          37         1.1         1.1  6.0006e-09
          38         1.1         1.1 5.92112e-09
          39         1.1         1.1  7.5455e-09
          40         1.1         1.1 7.45058e-09
          41         1.1         1.1 7.35916e-09
          42         1.1         1.1 7.27102e-09
          43         1.1         1.1 7.87184e-09
          44         1.1         1.1 7.78188e-09
          45         1.1         1.1 7.69493e-09
          46         1.1         1.1 7.61083e-09
          47         1.1         1.1 7.52942e-09
          48         1.1         1.1 8.04755e-09
          49         1.1         1.1 7.96501e-09
          50         1.1         1.1 7.88495e-09
