#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.81357    -3.81357           0
           2     -3.8196    -3.81659   0.0021317
           3    -3.81519    -3.81612   0.0014713
           4    -3.81509    -3.81586  0.00112583
           5    -3.80335    -3.81336  0.00241273
           6    -3.81406    -3.81348   0.0020134
           7    -3.81504     -3.8137  0.00173815
           8    -3.81173    -3.81345  0.00153825
           9    -3.81887    -3.81406  0.00148025
          10    -3.80723    -3.81337  0.00148123
          11    -3.80737    -3.81283  0.00144373
          12    -3.82041    -3.81346  0.00145518
          13    -3.80387    -3.81272  0.00151858
          14    -3.81592    -3.81295  0.00142724
          15    -3.81206    -3.81289  0.00133333
          16    -3.81036    -3.81273  0.00125936
          17    -3.82137    -3.81324  0.00128377
          18    -3.81127    -3.81313  0.00121711
          19    -3.81692    -3.81333  0.00116929
          20    -3.81133    -3.81323  0.00111509
          21    -3.81496    -3.81331  0.00106502
          22    -3.81256    -3.81328  0.00101716
          23    -3.81519    -3.81336 0.000976325
          24    -3.81569    -3.81346 0.000940457
          25    -3.81027    -3.81333 0.000911464
          26    -3.82205    -3.81367 0.000936123
          27    -3.81113    -3.81357 0.000906143
          28    -3.81011    -3.81345 0.000882196
          29    -3.81077    -3.81336 0.000856587
          30    -3.81686    -3.81347 0.000835952
          31     -3.8155    -3.81354 0.000811544
          32    -3.81346    -3.81354 0.000786187
          33     -3.8222     -3.8138 0.000804975
          34    -3.81475    -3.81383 0.000781782
          35    -3.81329    -3.81381 0.000759598
          36    -3.80764    -3.81364 0.000757604
          37    -3.81622    -3.81371 0.000740322
          38    -3.80766    -3.81355  0.00073778
          39    -3.81494    -3.81359 0.000719722
          40    -3.82173    -3.81379 0.000729947
          41    -3.81353    -3.81378  0.00071217
          42    -3.80841    -3.81366 0.000706607
          43    -3.81032    -3.81358 0.000694414
          44    -3.81972    -3.81372 0.000692516
          45    -3.82395    -3.81394 0.000713479
          46     -3.8149    -3.81397 0.000698269
          47    -3.81841    -3.81406 0.000689775
          48    -3.81896    -3.81416 0.000682929
          49    -3.81244    -3.81413 0.000669891
          50    -3.81692    -3.81418  0.00065881
