#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.19513     1.19513           0
           2     1.19329     1.19421 0.000652669
           3     1.19266     1.19369   0.0006058
           4     1.20703     1.19703  0.00292283
           5     1.19408     1.19644  0.00239679
           6     1.20264     1.19747  0.00220891
           7     1.19821     1.19758   0.0018959
           8     1.19776      1.1976  0.00165906
           9     1.19414     1.19722  0.00151864
          10     1.20804      1.1983  0.00170926
          11     1.20257     1.19869  0.00159743
          12     1.19857     1.19868  0.00146434
          13      1.2091     1.19948  0.00155588
          14     1.19661     1.19927  0.00145818
          15     1.20278     1.19951   0.0013796
          16     1.19677     1.19934  0.00130391
          17     1.19852     1.19929   0.0012281
          18     1.20156     1.19941  0.00116632
          19     1.20484      1.1997  0.00113934
          20     1.20434     1.19993  0.00110577
          21     1.19502      1.1997  0.00107758
          22     1.19909     1.19967  0.00102895
          23     1.19736     1.19957 0.000989106
          24     1.20265      1.1997 0.000956181
          25     1.18962      1.1993 0.000999328
          26     1.20588     1.19955 0.000992459
          27     1.18957     1.19918  0.00102217
          28     1.19852     1.19916 0.000985936
          29     1.20617      1.1994 0.000981158
          30     1.20337     1.19953 0.000957339
          31     1.18385     1.19902  0.00105163
          32     1.20485     1.19921  0.00103441
          33      1.1952     1.19909  0.00101014
          34      1.2037     1.19922  0.00098953
          35     1.19597     1.19913 0.000965608
          36     1.19651     1.19906 0.000941512
          37     1.19668     1.19899 0.000918253
          38     1.20134     1.19905 0.000896174
          39     1.20588     1.19923 0.000890144
          40     1.18999       1.199 0.000897336
          41     1.19662     1.19894 0.000877314
          42     1.20546     1.19909 0.000870036
          43     1.21304     1.19942 0.000908211
          44     1.18988      1.1992 0.000913079
          45     1.20226     1.19927 0.000895321
          46     1.19592      1.1992 0.000878816
          47     1.20776     1.19938 0.000878789
          48     1.19555      1.1993 0.000864097
          49     1.20875     1.19949  0.00086771
          50     1.20074     1.19952 0.000850717
