#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.51846    -7.51846           0
           2    -7.51603    -7.51725 0.000858736
           3    -7.51489    -7.51646 0.000859603
           4    -7.53042    -7.51995  0.00309089
           5    -7.51651    -7.51927  0.00254814
           6     -7.5263    -7.52044  0.00237798
           7    -7.52126    -7.52056  0.00204118
           8    -7.51938    -7.52041  0.00179135
           9    -7.51631    -7.51995  0.00164925
          10    -7.53035    -7.52099  0.00178195
          11    -7.52636    -7.52148  0.00168534
          12    -7.52013    -7.52137  0.00154863
          13    -7.53182    -7.52217  0.00162489
          14    -7.51946    -7.52198  0.00152032
          15    -7.52536     -7.5222  0.00143564
          16    -7.52012    -7.52207  0.00135183
          17    -7.52188    -7.52206  0.00127236
          18    -7.52356    -7.52214  0.00120438
          19    -7.52817    -7.52246  0.00118197
          20    -7.52768    -7.52272  0.00115126
          21    -7.51923    -7.52256  0.00110838
          22    -7.52166    -7.52252  0.00105875
          23    -7.51978     -7.5224  0.00101938
          24    -7.52582    -7.52254 0.000986851
          25    -7.51117    -7.52208  0.00104692
          26    -7.52694    -7.52227  0.00102317
          27    -7.51121    -7.52186  0.00106418
          28    -7.52072    -7.52182  0.00102695
          29    -7.52855    -7.52205  0.00101745
          30     -7.5247    -7.52214  0.00098734
          31    -7.50493    -7.52159   0.0011006
          32    -7.52763    -7.52177  0.00108228
          33    -7.51735    -7.52164  0.00105774
          34     -7.5267    -7.52179  0.00103705
          35    -7.51752    -7.52167  0.00101457
          36    -7.51927     -7.5216 0.000988575
          37    -7.51805     -7.5215 0.000966495
          38    -7.52413    -7.52157  0.00094353
          39    -7.52793    -7.52174 0.000933311
          40    -7.51264    -7.52151 0.000937292
          41    -7.51857    -7.52144 0.000917175
          42    -7.52883    -7.52161 0.000912065
          43    -7.53643    -7.52196 0.000953748
          44    -7.51014    -7.52169 0.000969172
          45    -7.52437    -7.52175 0.000949464
          46    -7.51755    -7.52166 0.000933204
          47    -7.53104    -7.52186 0.000934437
          48    -7.51729    -7.52176 0.000919794
          49    -7.53094    -7.52195 0.000919896
          50    -7.52301    -7.52197 0.000901742
