#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      7.7459      7.7459           0
           2     7.76463     7.75527  0.00662522
           3     7.75606     7.75553  0.00442205
           4     7.68453     7.73778   0.0157245
           5     7.75801     7.74183   0.0130897
           6     7.69924     7.73473   0.0126877
           7     7.73278     7.73445   0.0108782
           8     7.76478     7.73824   0.0101575
           9     7.78593     7.74354   0.0103186
          10     7.67354     7.73654   0.0114169
          11     7.72185      7.7352   0.0104568
          12     7.73671     7.73533  0.00958616
          13     7.68201     7.73123  0.00968655
          14     7.76121     7.73337   0.0092284
          15     7.71964     7.73245  0.00865844
          16     7.74674     7.73335  0.00816319
          17     7.73084      7.7332  0.00768433
          18     7.72617     7.73281  0.00726734
          19     7.70382     7.73128  0.00704318
          20      7.7212     7.73078  0.00670905
          21     7.76452     7.73239  0.00657912
          22     7.73024     7.73229   0.0062808
          23     7.74622     7.73289  0.00603685
          24     7.72439     7.73254   0.0057957
          25     7.76958     7.73402  0.00575016
          26     7.66339     7.73131   0.0061372
          27      7.7838     7.73325  0.00621028
          28     7.72087     7.73281  0.00600421
          29     7.69629     7.73155  0.00592775
          30     7.70918      7.7308  0.00577687
          31     7.78537     7.73256  0.00585258
          32     7.68538     7.73109  0.00585248
          33     7.73426     7.73118  0.00567592
          34     7.68649     7.72987  0.00565918
          35     7.71508     7.72945  0.00551323
          36     7.72147     7.72923  0.00536454
          37     7.73452     7.72937  0.00522146
          38     7.70806     7.72881  0.00511407
          39     7.68677     7.72773  0.00509526
          40     7.77544     7.72892  0.00510557
          41     7.73956     7.72918  0.00498763
          42      7.6958     7.72839   0.0049318
          43     7.65458     7.72667  0.00510709
          44     7.76524     7.72755   0.0050657
          45     7.71864     7.72735    0.004957
          46     7.73771     7.72757  0.00485435
          47     7.65915     7.72612  0.00496456
          48     7.73243     7.72625  0.00486287
          49     7.66043     7.72491  0.00494565
          50     7.70854     7.72458  0.00485755
