#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.796754    0.796754           0
           2    0.795524    0.796139 0.000435113
           3    0.795107    0.795795 0.000403867
           4    0.804686    0.798018  0.00194855
           5    0.796056    0.797625  0.00159786
           6    0.801759    0.798314  0.00147261
           7     0.79881    0.798385  0.00126393
           8     0.79851    0.798401  0.00110604
           9    0.796093    0.798144  0.00101243
          10    0.805357    0.798865  0.00113951
          11    0.801715    0.799125  0.00106496
          12    0.799047    0.799118  0.00097623
          13    0.806068    0.799653  0.00103725
          14     0.79774    0.799516 0.000972117
          15    0.801855    0.799672 0.000919733
          16     0.79785    0.799558 0.000869272
          17     0.79901    0.799526 0.000818736
          18    0.801038     0.79961 0.000777547
          19    0.803226      0.7998 0.000759559
          20    0.802896    0.799955 0.000737181
          21     0.79668    0.799799 0.000718386
          22    0.799395    0.799781 0.000685967
          23     0.79824    0.799714 0.000659404
          24    0.801767    0.799799 0.000637454
          25    0.793079     0.79953 0.000666218
          26     0.80392    0.799699  0.00066164
          27    0.793048    0.799453 0.000681449
          28    0.799016    0.799437  0.00065729
          29    0.804114    0.799599 0.000654105
          30    0.802246    0.799687 0.000638226
          31    0.789233     0.79935 0.000701084
          32    0.803234    0.799471 0.000689604
          33    0.796803     0.79939  0.00067343
          34     0.80247    0.799481 0.000659687
          35    0.797313    0.799419 0.000643739
          36    0.797676     0.79937 0.000627674
          37    0.797786    0.799328 0.000612169
          38    0.800896    0.799369  0.00059745
          39    0.803922    0.799486 0.000593429
          40    0.793328    0.799332 0.000598224
          41     0.79775    0.799293 0.000584876
          42    0.803637    0.799396 0.000580024
          43    0.808691    0.799613 0.000605474
          44    0.793253    0.799468 0.000608719
          45     0.80151    0.799513  0.00059688
          46    0.797279    0.799465 0.000585877
          47    0.805172    0.799586 0.000585859
          48    0.797032    0.799533 0.000576065
          49    0.805832    0.799662 0.000578473
          50    0.800496    0.799678 0.000567144
