#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.32333    -6.32333           0
           2    -6.32275    -6.32304 0.000206067
           3    -6.32223    -6.32277  0.00025913
           4     -6.3234    -6.32293  0.00023698
           5    -6.32243    -6.32283  0.00020942
           6    -6.32366    -6.32297  0.00021585
           7    -6.32305    -6.32298  0.00018532
           8    -6.32161    -6.32281 0.000227636
           9    -6.32217    -6.32274 0.000213154
          10    -6.32231    -6.32269 0.000196054
          11    -6.32378    -6.32279 0.000201687
          12    -6.32156    -6.32269 0.000209289
          13    -6.32272    -6.32269   0.0001932
          14    -6.32285     -6.3227 0.000179728
          15    -6.32258     -6.3227 0.000167929
          16    -6.32334    -6.32274 0.000162207
          17    -6.32337    -6.32277 0.000156894
          18      -6.322    -6.32273 0.000153924
          19    -6.32333    -6.32276  0.00014901
          20    -6.32333    -6.32279 0.000144265
          21    -6.32421    -6.32286  0.00015243
          22    -6.32257    -6.32284 0.000146073
          23    -6.32242    -6.32283 0.000140891
          24    -6.32317    -6.32284 0.000135755
          25    -6.32155    -6.32279 0.000139776
          26    -6.32106    -6.32272 0.000149392
          27    -6.32163    -6.32268 0.000149197
          28     -6.3222    -6.32266 0.000144854
          29    -6.32238    -6.32265 0.000140183
          30    -6.32133    -6.32261 0.000142326
          31    -6.32108    -6.32256 0.000146069
          32    -6.32278    -6.32257 0.000141658
          33    -6.32215    -6.32256 0.000137932
          34      -6.323    -6.32257 0.000134484
          35    -6.32155    -6.32254 0.000133763
          36    -6.32276    -6.32255 0.000130181
          37    -6.32137    -6.32251 0.000130456
          38    -6.32279    -6.32252 0.000127221
          39    -6.32205    -6.32251 0.000124535
          40    -6.32264    -6.32251 0.000121468
          41    -6.32194     -6.3225 0.000119298
          42    -6.32337    -6.32252 0.000118263
          43     -6.3234    -6.32254  0.00011726
          44    -6.32026    -6.32249  0.00012554
          45    -6.32211    -6.32248 0.000123036
          46    -6.32163    -6.32246 0.000121739
          47    -6.32328    -6.32248 0.000120386
          48    -6.32174    -6.32246 0.000118842
          49    -6.32219    -6.32246 0.000116545
          50    -6.32226    -6.32245 0.000114278
