#   N_BLOCK:  ACCEPTANCE:
           1    0.544861
           2    0.544935
           3    0.546315
           4    0.546546
           5    0.546481
           6    0.546509
           7    0.546471
           8    0.546446
           9     0.54629
          10    0.546378
          11    0.546423
          12     0.54635
          13    0.546444
          14    0.546476
          15    0.546369
          16    0.546487
          17    0.546507
          18    0.546711
          19    0.546616
          20    0.546532
          21    0.546572
          22    0.546662
          23    0.546636
          24    0.546691
          25    0.546642
          26      0.5466
          27    0.546643
          28    0.546694
          29    0.546733
          30    0.546793
          31     0.54674
          32    0.546715
          33    0.546742
          34    0.546724
          35    0.546708
          36    0.546635
          37    0.546628
          38    0.546646
          39    0.546673
          40    0.546692
          41    0.546732
          42    0.546774
          43    0.546784
          44    0.546737
          45    0.546658
          46    0.546647
          47    0.546592
          48    0.546598
          49    0.546601
          50    0.546566
