#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.55879    -7.55879           0
           2    -7.53877    -7.54878  0.00707924
           3     -7.5659    -7.55449  0.00663253
           4    -7.55705    -7.55513  0.00500521
           5    -7.54261    -7.55262  0.00458723
           6     -7.5425    -7.55094  0.00412152
           7    -7.56191     -7.5525  0.00381945
           8    -7.54287     -7.5513  0.00352689
           9    -7.55517    -7.55173  0.00316119
          10    -7.52548    -7.54911   0.0037807
          11    -7.54319    -7.54857  0.00347506
          12    -7.53131    -7.54713  0.00347019
          13    -7.54619    -7.54706    0.003204
          14    -7.52675    -7.54561  0.00328709
          15     -7.5578    -7.54642  0.00316682
          16    -7.57073    -7.54794   0.0033135
          17    -7.55838    -7.54855    0.003175
          18    -7.57294    -7.54991  0.00327499
          19    -7.54459    -7.54963  0.00311455
          20    -7.52504     -7.5484   0.0031922
          21    -7.57141    -7.54949  0.00322273
          22    -7.55221    -7.54962  0.00307861
          23    -7.55199    -7.54972  0.00294649
          24    -7.56336    -7.55029    0.002878
          25    -7.54828    -7.55021  0.00276401
          26    -7.52943    -7.54941  0.00277089
          27    -7.55016    -7.54944   0.0026684
          28    -7.53875    -7.54906  0.00260027
          29    -7.54372    -7.54887  0.00251711
          30    -7.55527    -7.54909  0.00244223
          31    -7.55247    -7.54919  0.00236588
          32     -7.5409    -7.54894  0.00230609
          33    -7.55734    -7.54919  0.00225022
          34     -7.5499    -7.54921  0.00218413
          35    -7.54462    -7.54908  0.00212566
          36    -7.53405    -7.54866  0.00210724
          37    -7.54037    -7.54844  0.00206218
          38    -7.53474    -7.54808  0.00203918
          39    -7.53748    -7.54781  0.00200493
          40    -7.52794    -7.54731  0.00201537
          41    -7.53641    -7.54704  0.00198369
          42    -7.54817    -7.54707  0.00193664
          43    -7.55799    -7.54732  0.00190817
          44    -7.54476    -7.54727  0.00186569
          45    -7.53764    -7.54705  0.00183644
          46    -7.54395    -7.54698  0.00179776
          47    -7.54371    -7.54691  0.00176086
          48    -7.55022    -7.54698  0.00172552
          49    -7.54213    -7.54688  0.00169314
          50    -7.52722    -7.54649  0.00170435
